2D:n_iter
n_levels  &   k=2 &  k=3 &  k=4 &   k=5 &   k=6 &   k=7 & k=11 & k=15 \\
       5  &   --- &  --- &  --- &   --- &   --- &   --- & 10.9 & 10.8 \\
       6  &   --- &  --- &  --- &  11.2 &  11.3 &  11.2 & 10.8 & 10.7 \\
       7  &   --- & 11.6 & 11.7 &  11.1 &  11.2 &  11.1 & 10.8 & 10.6 \\
       8  &  12.2 & 11.6 & 11.6 &  11.1 &  11.2 &  11.1 & 10.7 & 10.6 \\
       9  &  12.1 & 11.6 & 11.5 &  11.0 &  11.1 &  11.1 & 10.7 & 10.5 \\
      10  &  11.9 & 11.6 & 11.3 &  10.9 &  11.1 &  11.1 & 10.7 & 10.5 \\
      11  &  11.8 & 11.6 & 11.2 &  10.9 &  11.1 &  11.1 & 10.7 & 10.5 \\
      12  &  11.7 & 11.6 & 11.0 &  10.9 &  11.0 &  11.0 &  --- &  --- \\
      13  &  11.7 & 11.6 &  --- &   --- &   --- &   --- &  --- &  --- \\


2D:n_dofs
n_levels  &         k=2 &        k=3 &        k=4 &        k=5 &        k=6 &        k=7 &      k=11 &      k=15 \\
       5  &         --- &        --- &        --- &        --- &        --- &        --- &    124609 &    231361 \\
       6  &         --- &        --- &        --- &     103041 &     148225 &     201601 &    497025 &    923521 \\
       7  &         --- &     148225 &     263169 &     410881 &     591361 &     804609 &   1985281 &   3690241 \\
       8  &      263169 &     591361 &    1050625 &    1640961 &    2362369 &    3214849 &   7935489 &  14753281 \\
       9  &     1050625 &    2362369 &    4198401 &    6558721 &    9443329 &   12852225 &  31730689 &  58997761 \\
      10  &     4198401 &    9443329 &   16785409 &   26224641 &   37761025 &   51394561 & 126900225 & 235960321 \\
      11  &    16785409 &   37761025 &   67125249 &  104878081 &  151019521 &  205549569 & 507555841 & 943779841 \\
      12  &    67125249 &  151019521 &  268468225 &  419471361 &  604028929 &  822140929 &       --- &       --- \\
      13  &   268468225 &  604028929 &        --- &        --- &        --- &        --- &       --- &       --- \\


3D:n_iter
n_levels &  k=2 &  k=3 &  k=4 &  k=5 &  k=6 &  k=7 & k=11 & k=15 \\
       2 &  --- &  --- &  --- &  --- &  --- &  --- &  --- & 13.7 \\
       3 &  --- &  --- &  --- &  --- & 15.9 & 15.3 & 14.8 & 14.7 \\
       4 &  --- & 16.8 & 16.8 & 15.5 & 16.1 & 15.1 & 14.7 & 14.5 \\
       5 & 20.0 & 16.8 & 16.8 & 15.3 & 16.1 & 14.9 & 14.5 & 14.2 \\
       6 & 20.0 & 16.6 & 16.7 & 15.1 & 15.9 & 14.8 & 14.3 & 13.9 \\
       7 & 19.9 & 16.4 & 16.6 & 15.0 & 15.8 & 14.8 &  --- &  --- \\
       8 & 19.8 & 16.3 &  --- &  --- &  --- &  --- &  --- &  --- \\


3D:n_dofs
n_levels &        k=2 &       k=3 &       k=4 &       k=5 &       k=6 &       k=7 &      k=11 &      k=15 \\
       2 &        --- &       --- &       --- &       --- &       --- &       --- &       --- &    226981 \\
       3 &        --- &       --- &       --- &       --- &    117649 &    185193 &    704969 &   1771561 \\
       4 &        --- &    117649 &    274625 &    531441 &    912673 &   1442897 &   5545233 &  13997521 \\
       5 &     274625 &    912673 &   2146689 &   4173281 &   7189057 &  11390625 &  43986977 & 111284641 \\
       6 &    2146689 &   7189057 &  16974593 &  33076161 &  57066625 &  90518849 & 350402625 & 887503681 \\
       7 &   16974593 &  57066625 & 135005697 & 263374721 & 454756609 & 721734273 &       --- &       --- \\
       8 &  135005697 & 454756609 &       --- &       --- &       --- &       --- &       --- &       --- \\
