2D:n_iter
n_levels  &  k=2  &  k=3  &  k=4  &  k=5  &  k=6  &  k=7  &  n_colors \\
       6  &  ---  &  ---  &  ---  &  3.8  &  3.4  &  3.4  &         4 \\
       7  &  ---  &  4.4  &  3.8  &  3.8  &  3.4  &  3.4  &         4 \\
       8  &  4.5  &  4.4  &  3.8  &  3.8  &  3.4  &  3.4  &         4 \\
       9  &  4.5  &  4.4  &  3.8  &  3.8  &  3.4  &  3.4  &         4 \\
      10  &  4.5  &  4.4  &  3.8  &  3.8  &  3.4  &  3.4  &         4 \\
      11  &  4.5  &  4.4  &  3.8  &  3.8  &  3.4  &  3.4  &         4 \\
      12  &  4.5  &  4.4  &  3.8  &  3.8  &  3.4  &  3.4  &         4 \\
      13  &  4.5  &  4.4  &  ---  &  ---  &  ---  &  ---  &         4 \\


2D:n_dofs
n_levels  &         k=2 &        k=3 &        k=4 &        k=5 &        k=6 &        k=7 \\
       6  &         --- &        --- &        --- &     103041 &     148225 &     201601 \\
       7  &         --- &     148225 &     263169 &     410881 &     591361 &     804609 \\
       8  &      263169 &     591361 &    1050625 &    1640961 &    2362369 &    3214849 \\
       9  &     1050625 &    2362369 &    4198401 &    6558721 &    9443329 &   12852225 \\
      10  &     4198401 &    9443329 &   16785409 &   26224641 &   37761025 &   51394561 \\
      11  &    16785409 &   37761025 &   67125249 &  104878081 &  151019521 &  205549569 \\
      12  &    67125249 &  151019521 &  268468225 &  419471361 &  604028929 &  822140929 \\
      13  &   268468225 &  604028929 &        --- &        --- &        --- &        --- \\


3D:n_iter
n_levels &  k=2 &  k=3 &  k=4 &  k=5 & k=6 &  k=7 &  n_colors \\
       3 &  --- &  --- &  --- &  --- & 3.3 &  3.3 &         8 \\
       4 &  --- &  4.4 &  3.8 &  3.7 & 3.4 &  3.4 &         8 \\                                                                                                  5 &  5.1 &  4.4 &  3.8 &  3.7 & 3.4 &  3.4 &         8 \\
       6 &  5.1 &  4.4 &  3.8 &  3.7 & 3.4 &  3.4 &         8 \\
       7 &  5.0 &  4.4 &  3.8 &  3.7 & 3.4 &  3.4 &         8 \\
       8 &  5.0 &  4.4 &  --- &  --- & --- &  --- &         8 \\


3D:n_dofs
n_levels &        k=2 &       k=3 &       k=4 &       k=5 &       k=6 &       k=7  \\
       3 &        --- &       --- &       --- &       --- &    117649 &    185193  \\
       4 &        --- &    117649 &    274625 &    531441 &    912673 &   1442897  \\
       5 &     274625 &    912673 &   2146689 &   4173281 &   7189057 &  11390625  \\
       6 &    2146689 &   7189057 &  16974593 &  33076161 &  57066625 &  90518849  \\
       7 &   16974593 &  57066625 & 135005697 & 263374721 & 454756609 & 721734273  \\
       8 &  135005697 & 454756609 &       --- &       --- &       --- &       ---  \\
