
  Equation Data:                             divergence-free (no-slip exponential)        
  IP pre-factor:                             1        
  Assemble pressure mass matrix?             false    
  Use mean value constraint?                 false    
  Use Cuthill-McKee?                         false    
  Local Solver:                              exact        
  Kernel size (local solver):                1        
  Local Assembly:                            lmw        

  Finite element:                            FESystem<2>[FE_RaviartThomas_new<2>(6)-FE_DGQLegendre<2>(6)]        
  Number of run cycles:                      10        
  Lower dof limit:                           5000        
  Upper dof limit:                           5000000        
  Using TBB:                                 false    

  Geometry:                                  Cube        
  Number of refinements:                     1        
  Number of repetitions:                     2        
  Subdivisions per direction:                []        
  Distortion factor:                         -1.000e+00

  Solver:                                    CG_GMG        
  Absolute tolerance:                        1.000e-14    
  Relative tolerance:                        1.000e-08    
  Number of maximal iterations:              200        
  Preconditioner:                            GMG        
  Solver control:                            relative tolerance        

  Multigrid:                                 V-cycle        
    /// Pre-smoother                                 
  Number of smoothing steps:                 2        
  Doubling of smoothing steps:               false    
  Smoother:                                  Schwarz Smoother        
  Schwarz operator                           Additive Vertex Patch        
  Damping factor                             0.25        
  User-defined coloring                      true     
  Symmetrized Schwarz operator               false    
  Reversed Schwarz operator                  false    
  RAS - weights                              false    
  RAS - boolean weights                      false    
  Number of quad points (surrogate)          5        
  Normalize surrogate patches                false    
  Compute arc length (surrogate)             true     
  Caching strategy                           cached        
    /// Post-smoother                                
  Number of smoothing steps:                 2        
  Doubling of smoothing steps:               false    
  Smoother:                                  Schwarz Smoother        
  Schwarz operator                           Additive Vertex Patch        
  Damping factor                             0.25        
  User-defined coloring                      true     
  Symmetrized Schwarz operator               false    
  Reversed Schwarz operator                  true     
  RAS - weights                              false    
  RAS - boolean weights                      false    
  Number of quad points (surrogate)          5        
  Normalize surrogate patches                false    
  Compute arc length (surrogate)             true     
  Caching strategy                           cached        
    /// Coarse grid solver                           
  Coarse grid solver:                        Direct Solver        
  Threshold (singular values):               1.000e-10    
  Kernel size:                               1        

  Starting cycle 1 of 10                     ...        
  No mesh created                            ...        


  Starting cycle 2 of 10                     ...        
  Domain:                                    (0, 1) x (0, 1)        
  Root mesh:                                 2 x 2        
  Number of root cells:                      4        
  Number of active cells:                    64        

  Projecting div-conf. zero boundary (velo)  ...        
  Projecting div-conf. boundary (velo)       ...        
  Number of degrees of freedom (velocity):   6384        
  Number of degrees of freedom (pressure):   3136        
  Number of degrees of freedom (total):      9520        

  Average reduction (solver):                0.213697        
  Number of iterations (solver):             11.9367        
  Mean of pressure solution adjusted by:     -1.581e-12          

  Velocity error in the L2 norm:             8.780e-12          
  Pressure error in the L2 norm:             1.959e-09          
  Velocity error in the H1 seminorm:         1.578e-09          
  Memory used (VM Peak):                     3GB        

  Starting cycle 3 of 10                     ...        
  Domain:                                    (0, 1) x (0, 1)        
  Root mesh:                                 2 x 2        
  Number of root cells:                      4        
  Number of active cells:                    256        

  Projecting div-conf. zero boundary (velo)  ...        
  Projecting div-conf. boundary (velo)       ...        
  Number of degrees of freedom (velocity):   25312        
  Number of degrees of freedom (pressure):   12544        
  Number of degrees of freedom (total):      37856        

  Average reduction (solver):                0.216693        
  Number of iterations (solver):             12.0454        
  Mean of pressure solution adjusted by:     1.747e-11          

  Velocity error in the L2 norm:             6.768e-14          
  Pressure error in the L2 norm:             3.993e-11          
  Velocity error in the H1 seminorm:         2.480e-11          
  Memory used (VM Peak):                     3GB        

  Starting cycle 4 of 10                     ...        
  Domain:                                    (0, 1) x (0, 1)        
  Root mesh:                                 2 x 2        
  Number of root cells:                      4        
  Number of active cells:                    1024        

  Projecting div-conf. zero boundary (velo)  ...        
  Projecting div-conf. boundary (velo)       ...        
  Number of degrees of freedom (velocity):   100800        
  Number of degrees of freedom (pressure):   50176        
  Number of degrees of freedom (total):      150976        

  Average reduction (solver):                0.196461        
  Number of iterations (solver):             11.3198        
  Mean of pressure solution adjusted by:     6.308e-11          

  Velocity error in the L2 norm:             5.297e-15          
  Pressure error in the L2 norm:             2.644e-11          
  Velocity error in the H1 seminorm:         4.547e-13          
  Memory used (VM Peak):                     3GB        

  Starting cycle 5 of 10                     ...        
  Domain:                                    (0, 1) x (0, 1)        
  Root mesh:                                 2 x 2        
  Number of root cells:                      4        
  Number of active cells:                    4096        

  Projecting div-conf. zero boundary (velo)  ...        
  Projecting div-conf. boundary (velo)       ...        
  Number of degrees of freedom (velocity):   402304        
  Number of degrees of freedom (pressure):   200704        
  Number of degrees of freedom (total):      603008        

  Average reduction (solver):                0.175142        
  Number of iterations (solver):             10.5735        
  Mean of pressure solution adjusted by:     -7.853e-11          

  Velocity error in the L2 norm:             1.107e-14          
  Pressure error in the L2 norm:             2.194e-11          
  Velocity error in the H1 seminorm:         2.681e-13          
  Memory used (VM Peak):                     5GB        

  Starting cycle 6 of 10                     ...        
  Domain:                                    (0, 1) x (0, 1)        
  Root mesh:                                 2 x 2        
  Number of root cells:                      4        
  Number of active cells:                    16384        

  Projecting div-conf. zero boundary (velo)  ...        
  Projecting div-conf. boundary (velo)       ...        
  Number of degrees of freedom (velocity):   1607424        
  Number of degrees of freedom (pressure):   802816        
  Number of degrees of freedom (total):      2410240        

  Average reduction (solver):                0.144071        
  Number of iterations (solver):             9.50769        
  Mean of pressure solution adjusted by:     1.629e-10          

  Velocity error in the L2 norm:             5.575e-14         
  Pressure error in the L2 norm:             1.104e-11          
  Velocity error in the H1 seminorm:         5.906e-13          
  Memory used (VM Peak):                     13GB        

  Starting cycle 7 of 10                     ...        
  No mesh created                            ...        


  Starting cycle 8 of 10                     ...        
  No mesh created                            ...        


  Starting cycle 9 of 10                     ...        
  No mesh created                            ...        


  Starting cycle 10 of 10                    ...        
  No mesh created                            ...        




n_levels n_cells n_dofs  n_dofs_u n_dofs_p n_colors n_iter  reduction       L2_error_u            L2_error_p         H1semi_error_u     
       3      64    9520     6384     3136        1 11.9367 2.137e-01 8.780e-12      -     - 1.959e-09     -    - 1.578e-09     -     - 
       4     256   37856    25312    12544        1 12.0454 2.167e-01 6.768e-14 129.74  7.06 3.993e-11 49.07 5.62 2.480e-11 63.63  6.03 
       5    1024  150976   100800    50176        1 11.3198 1.965e-01 5.297e-15  12.78  3.69 2.644e-11  1.51 0.59 4.547e-13 54.53  5.79 
       6    4096  603008   402304   200704        1 10.5735 1.751e-01 1.107e-14   0.48 -1.06 2.194e-11  1.21 0.27 2.681e-13  1.70  0.76 
       7   16384 2410240  1607424   802816        1  9.5077 1.441e-01 5.575e-14   0.20 -2.33 1.104e-11  1.99 0.99 5.906e-13  0.45 -1.14 
