
  ////////////////////////////////////////   SIMPLIFIED STOKES        
  Equation Data:                             divergence-free (no-slip exponential)        
  IP pre-factor:                             1        
  Assemble pressure mass matrix?             false    
  Use mean value constraint?                 false    
  Use Cuthill-McKee?                         false    
  Local Solver:                              bilaplacian        
  Skip A?                                    false    
  Local Assembly:                            streamtensor        

  Finite element:                            FESystem<2>[FE_RaviartThomas_new<2>(5)-FE_DGQLegendre<2>(5)]        
  Number of run cycles:                      11        
  Lower dof limit:                           5000        
  Upper dof limit:                           5000000        
  Using TBB:                                 false    

  Geometry:                                  Cube        
  Number of refinements:                     1        
  Number of repetitions:                     2        
  Subdivisions per direction:                []        
  Distortion factor:                         -1.000e+00

  Solver:                                    CG_GMG        
  Absolute tolerance:                        1.000e-14    
  Relative tolerance:                        1.000e-08    
  Number of maximal iterations:              200        
  Preconditioner:                            GMG        
  Solver control:                            relative tolerance        

  Multigrid:                                 V-cycle        
    /// Pre-smoother                                 
  Number of smoothing steps:                 2        
  Doubling of smoothing steps:               false    
  Smoother:                                  Schwarz Smoother        
  Schwarz operator                           Multiplicative Vertex Patch        
  Damping factor                             1        
  Number of active blocks                    2        
  User-defined coloring                      true     
  Symmetrized Schwarz operator               false    
  Reversed Schwarz operator                  false    
  RAS - weights                              false    
  RAS - boolean weights                      false    
  Number of quad points (surrogate)          5        
  Normalize surrogate patches                false    
  Compute arc length (surrogate)             true     
  Caching strategy                           cached        
    /// Post-smoother                                
  Number of smoothing steps:                 2        
  Doubling of smoothing steps:               false    
  Smoother:                                  Schwarz Smoother        
  Schwarz operator                           Multiplicative Vertex Patch        
  Damping factor                             1        
  Number of active blocks                    2        
  User-defined coloring                      true     
  Symmetrized Schwarz operator               false    
  Reversed Schwarz operator                  true     
  RAS - weights                              false    
  RAS - boolean weights                      false    
  Number of quad points (surrogate)          5        
  Normalize surrogate patches                false    
  Compute arc length (surrogate)             true     
  Caching strategy                           cached        
    /// Coarse grid solver                           
  Coarse grid solver:                        Direct Solver        
  Threshold (singular values):               1.000e-08    
  Kernel size:                               1        

  Starting cycle 1 of 11                     ...        
  No mesh created                            ...        


  Starting cycle 2 of 11                     ...        
  Domain:                                    (0, 1) x (0, 1)        
  Root mesh:                                 2 x 2        
  Number of root cells:                      4        
  Number of active cells:                    64        

  Projecting div-conf. zero boundary (velo)  ...        
  Projecting div-conf. boundary (velo)       ...        
  Number of degrees of freedom (velocity):   4704        
  Number of degrees of freedom (pressure):   2304        
  Number of degrees of freedom (total):      7008        

  Average reduction (solver):                0.057288        
  Number of iterations (solver):             6.44155        
  Mean of pressure solution adjusted by:     1.617e-15          

  Velocity error in the L2 norm:             3.808e-10          
  Pressure error in the L2 norm:             6.887e-08          
  Velocity error in the H1 seminorm:         4.913e-08         
  Memory used (VM Peak):                     2GB        

  Starting cycle 3 of 11                     ...        
  Domain:                                    (0, 1) x (0, 1)        
  Root mesh:                                 2 x 2        
  Number of root cells:                      4        
  Number of active cells:                    256        

  Projecting div-conf. zero boundary (velo)  ...        
  Projecting div-conf. boundary (velo)       ...        
  Number of degrees of freedom (velocity):   18624        
  Number of degrees of freedom (pressure):   9216        
  Number of degrees of freedom (total):      27840        

  Average reduction (solver):                0.0635531        
  Number of iterations (solver):             6.68414        
  Mean of pressure solution adjusted by:     1.700e-15          

  Velocity error in the L2 norm:             6.109e-12          
  Pressure error in the L2 norm:             1.155e-09          
  Velocity error in the H1 seminorm:         1.522e-09         
  Memory used (VM Peak):                     2GB        

  Starting cycle 4 of 11                     ...        
  Domain:                                    (0, 1) x (0, 1)        
  Root mesh:                                 2 x 2        
  Number of root cells:                      4        
  Number of active cells:                    1024        

  Projecting div-conf. zero boundary (velo)  ...        
  Projecting div-conf. boundary (velo)       ...        
  Number of degrees of freedom (velocity):   74112        
  Number of degrees of freedom (pressure):   36864        
  Number of degrees of freedom (total):      110976        

  Average reduction (solver):                0.0626168        
  Number of iterations (solver):             6.64833        
  Mean of pressure solution adjusted by:     1.551e-15          

  Velocity error in the L2 norm:             1.106e-13          
  Pressure error in the L2 norm:             1.826e-10          
  Velocity error in the H1 seminorm:         4.745e-11          
  Memory used (VM Peak):                     2GB        

  Starting cycle 5 of 11                     ...        
  Domain:                                    (0, 1) x (0, 1)        
  Root mesh:                                 2 x 2        
  Number of root cells:                      4        
  Number of active cells:                    4096        

  Projecting div-conf. zero boundary (velo)  ...        
  Projecting div-conf. boundary (velo)       ...        
  Number of degrees of freedom (velocity):   295680        
  Number of degrees of freedom (pressure):   147456        
  Number of degrees of freedom (total):      443136        

  Average reduction (solver):                0.0614413        
  Number of iterations (solver):             6.60317        
  Mean of pressure solution adjusted by:     1.547e-15          

  Velocity error in the L2 norm:             3.521e-14          
  Pressure error in the L2 norm:             8.517e-11          
  Velocity error in the H1 seminorm:         1.755e-12          
  Memory used (VM Peak):                     2GB        

  Starting cycle 6 of 11                     ...        
  Domain:                                    (0, 1) x (0, 1)        
  Root mesh:                                 2 x 2        
  Number of root cells:                      4        
  Number of active cells:                    16384        

  Projecting div-conf. zero boundary (velo)  ...        
  Projecting div-conf. boundary (velo)       ...        
  Number of degrees of freedom (velocity):   1181184        
  Number of degrees of freedom (pressure):   589824        
  Number of degrees of freedom (total):      1771008        

  Average reduction (solver):                0.0458704        
  Number of iterations (solver):             5.97699        
  Mean of pressure solution adjusted by:     1.870e-15          

  Velocity error in the L2 norm:             9.588e-14          
  Pressure error in the L2 norm:             1.507e-10          
  Velocity error in the H1 seminorm:         3.542e-12          
  Memory used (VM Peak):                     2GB        

  Starting cycle 7 of 11                     ...        
  No mesh created                            ...        


  Starting cycle 8 of 11                     ...        
  No mesh created                            ...        


  Starting cycle 9 of 11                     ...        
  No mesh created                            ...        


  Starting cycle 10 of 11                    ...        
  No mesh created                            ...        


  Starting cycle 11 of 11                    ...        
  No mesh created                            ...        




n_levels n_cells n_dofs  n_dofs_u n_dofs_p n_colors n_iter reduction      L2_error_u            L2_error_p          H1semi_error_u     
       3      64    7008     4704     2304        8 6.4416 5.729e-02 3.808e-10     -     - 6.887e-08     -     - 4.913e-08     -     - 
       4     256   27840    18624     9216        8 6.6841 6.355e-02 6.109e-12 62.32  6.01 1.155e-09 59.65  5.90 1.522e-09 32.28  5.05 
       5    1024  110976    74112    36864        8 6.6483 6.262e-02 1.106e-13 55.26  5.81 1.826e-10  6.32  2.66 4.745e-11 32.07  5.02 
       6    4096  443136   295680   147456        8 6.6032 6.144e-02 3.521e-14  3.14  1.65 8.517e-11  2.14  1.10 1.755e-12 27.04  4.77 
       7   16384 1771008  1181184   589824        8 5.9770 4.587e-02 9.588e-14  0.37 -1.45 1.507e-10  0.57 -0.82 3.542e-12  0.50 -1.01 
