# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_B_10> 
0 0 
0.00125 0.0129851 
0.0025 0.0258728 
0.00375 0.0386539 
0.005 0.051317 
0.00625 0.0638487 
0.0075 0.0762338 
0.00875 0.0884556 
0.01 0.100496 
0.01125 0.112337 
0.0125 0.123958 
0.01375 0.135339 
0.015 0.14646 
0.01625 0.157298 
0.0175 0.167834 
0.01875 0.178046 
0.02 0.187914 
0.02125 0.197416 
0.0225 0.206533 
0.02375 0.215246 
0.025 0.223535 
0.02625 0.231382 
0.0275 0.238771 
0.02875 0.245685 
0.03 0.252107 
0.03125 0.258025 
0.0325 0.263425 
0.03375 0.268294 
0.035 0.272622 
0.03625 0.276399 
0.0375 0.279616 
0.03875 0.282266 
0.04 0.284343 
0.04125 0.285841 
0.0425 0.286758 
0.04375 0.287092 
0.045 0.286841 
0.04625 0.286005 
0.0475 0.284586 
0.04875 0.282588 
0.05 0.280013 
0.05125 0.276868 
0.0525 0.273159 
0.05375 0.268892 
0.055 0.264078 
0.05625 0.258726 
0.0575 0.252846 
0.05875 0.246451 
0.06 0.239554 
0.06125 0.232168 
0.0625 0.224308 
0.06375 0.21599 
0.065 0.207231 
0.06625 0.198047 
0.0675 0.188457 
0.06875 0.17848 
0.07 0.168134 
0.07125 0.15744 
0.0725 0.146418 
0.07375 0.13509 
0.075 0.123476 
0.07625 0.111599 
0.0775 0.099482 
0.07875 0.0871463 
0.08 0.0746153 
0.08125 0.0619121 
0.0825 0.0490602 
0.08375 0.0360828 
0.085 0.0230037 
0.08625 0.00984635 
0.0875 -0.00336556 
0.08875 -0.0166085 
0.09 -0.0298589 
0.09125 -0.0430934 
0.0925 -0.0562889 
0.09375 -0.0694223 
0.095 -0.0824708 
0.09625 -0.095412 
0.0975 -0.108224 
0.09875 -0.120884 
0.1 -0.133372 
0.10125 -0.145665 
0.1025 -0.157745 
0.10375 -0.16959 
0.105 -0.181181 
0.10625 -0.192499 
0.1075 -0.203525 
0.10875 -0.214242 
0.11 -0.224632 
0.11125 -0.234679 
0.1125 -0.244366 
0.11375 -0.253679 
0.115 -0.262603 
0.11625 -0.271124 
0.1175 -0.279228 
0.11875 -0.286904 
0.12 -0.29414 
0.12125 -0.300924 
0.1225 -0.307247 
0.12375 -0.3131 
0.125 -0.318474 
0.12625 -0.323361 
0.1275 -0.327754 
0.12875 -0.331647 
0.13 -0.335036 
0.13125 -0.337915 
0.1325 -0.340281 
0.13375 -0.342131 
0.135 -0.343464 
0.13625 -0.344278 
0.1375 -0.344572 
0.13875 -0.344348 
0.14 -0.343605 
0.14125 -0.342348 
0.1425 -0.340577 
0.14375 -0.338298 
0.145 -0.335513 
0.14625 -0.332229 
0.1475 -0.328451 
0.14875 -0.324185 
0.15 -0.31944 
0.15125 -0.314222 
0.1525 -0.308541 
0.15375 -0.302405 
0.155 -0.295825 
0.15625 -0.288811 
