# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_19> 
0 0 
0.00125 -0.162039 
0.0025 -0.296026 
0.00375 -0.404764 
0.005 -0.490857 
0.00625 -0.556724 
0.0075 -0.604608 
0.00875 -0.636583 
0.01 -0.654569 
0.01125 -0.660333 
0.0125 -0.655506 
0.01375 -0.641582 
0.015 -0.619932 
0.01625 -0.591811 
0.0175 -0.558361 
0.01875 -0.520621 
0.02 -0.479533 
0.02125 -0.435948 
0.0225 -0.390629 
0.02375 -0.344264 
0.025 -0.297461 
0.02625 -0.250763 
0.0275 -0.204645 
0.02875 -0.159525 
0.03 -0.115761 
0.03125 -0.0736646 
0.0325 -0.0334955 
0.03375 0.0045285 
0.035 0.0402305 
0.03625 0.0734707 
0.0375 0.104143 
0.03875 0.132173 
0.04 0.157513 
0.04125 0.180143 
0.0425 0.200063 
0.04375 0.217296 
0.045 0.231882 
0.04625 0.243878 
0.0475 0.253356 
0.04875 0.260398 
0.05 0.2651 
0.05125 0.267566 
0.0525 0.267906 
0.05375 0.266238 
0.055 0.262687 
0.05625 0.257377 
0.0575 0.25044 
0.05875 0.242007 
0.06 0.232209 
0.06125 0.221181 
0.0625 0.209052 
0.06375 0.195954 
0.065 0.182015 
0.06625 0.167361 
0.0675 0.152115 
0.06875 0.136394 
0.07 0.120315 
0.07125 0.103988 
0.0725 0.087519 
0.07375 0.0710097 
0.075 0.0545559 
0.07625 0.0382488 
0.0775 0.0221737 
0.07875 0.00641085 
0.08 -0.00896537 
0.08125 -0.0238861 
0.0825 -0.0382879 
0.08375 -0.0521132 
0.085 -0.0653099 
0.08625 -0.0778313 
0.0875 -0.0896361 
0.08875 -0.100689 
0.09 -0.110958 
0.09125 -0.120419 
0.0925 -0.12905 
0.09375 -0.136836 
0.095 -0.143765 
0.09625 -0.149832 
0.0975 -0.155032 
0.09875 -0.159367 
0.1 -0.162844 
0.10125 -0.16547 
0.1025 -0.167258 
0.10375 -0.168225 
0.105 -0.168389 
0.10625 -0.167771 
0.1075 -0.166396 
0.10875 -0.16429 
0.11 -0.161483 
0.11125 -0.158005 
0.1125 -0.153889 
0.11375 -0.14917 
0.115 -0.143883 
0.11625 -0.138064 
0.1175 -0.131753 
0.11875 -0.124987 
0.12 -0.117806 
0.12125 -0.110251 
0.1225 -0.10236 
0.12375 -0.0941752 
0.125 -0.0857363 
0.12625 -0.0770834 
0.1275 -0.0682565 
0.12875 -0.0592951 
0.13 -0.0502379 
0.13125 -0.0411231 
0.1325 -0.0319881 
0.13375 -0.0228694 
0.135 -0.0138023 
0.13625 -0.00482122 
0.1375 0.00404086 
0.13875 0.0127521 
0.14 0.021282 
0.14125 0.0296016 
0.1425 0.0376833 
0.14375 0.0455011 
0.145 0.0530306 
