# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_wrt_M_5> 
0 0 
0.00125 0.000633997 
0.0025 0.00254706 
0.00375 0.00570393 
0.005 0.0100696 
0.00625 0.0156092 
0.0075 0.0222881 
0.00875 0.030072 
0.01 0.0389266 
0.01125 0.0488179 
0.0125 0.0597119 
0.01375 0.071575 
0.015 0.0843734 
0.01625 0.0980738 
0.0175 0.112643 
0.01875 0.128047 
0.02 0.144254 
0.02125 0.16123 
0.0225 0.178942 
0.02375 0.197358 
0.025 0.216445 
0.02625 0.236171 
0.0275 0.256503 
0.02875 0.277409 
0.03 0.298857 
0.03125 0.320815 
0.0325 0.34325 
0.03375 0.366132 
0.035 0.389429 
0.03625 0.413109 
0.0375 0.437142 
0.03875 0.461495 
0.04 0.486139 
0.04125 0.511041 
0.0425 0.536173 
0.04375 0.561504 
0.045 0.587003 
0.04625 0.612641 
0.0475 0.638387 
0.04875 0.664214 
0.05 0.69009 
0.05125 0.715989 
0.0525 0.74188 
0.05375 0.767736 
0.055 0.793529 
0.05625 0.81923 
0.0575 0.844814 
0.05875 0.870251 
0.06 0.895517 
0.06125 0.920583 
0.0625 0.945426 
0.06375 0.970018 
0.065 0.994334 
0.06625 1.01835 
0.0675 1.04204 
0.06875 1.06538 
0.07 1.08835 
0.07125 1.11093 
0.0725 1.13309 
0.07375 1.1548 
0.075 1.17606 
0.07625 1.19683 
0.0775 1.21709 
0.07875 1.23684 
0.08 1.25604 
0.08125 1.27467 
0.0825 1.29272 
0.08375 1.31018 
0.085 1.32701 
0.08625 1.34321 
0.0875 1.35876 
0.08875 1.37364 
0.09 1.38784 
0.09125 1.40134 
0.0925 1.41413 
0.09375 1.4262 
0.095 1.43752 
0.09625 1.4481 
0.0975 1.45792 
0.09875 1.46696 
0.1 1.47522 
0.10125 1.48268 
0.1025 1.48934 
0.10375 1.49519 
0.105 1.50023 
0.10625 1.50443 
0.1075 1.5078 
0.10875 1.51034 
0.11 1.51203 
0.11125 1.51287 
0.1125 1.51285 
0.11375 1.51199 
0.115 1.51026 
0.11625 1.50767 
0.1175 1.50421 
0.11875 1.4999 
0.12 1.49472 
0.12125 1.48868 
0.1225 1.48177 
0.12375 1.47401 
0.125 1.46538 
0.12625 1.45591 
0.1275 1.44558 
0.12875 1.4344 
0.13 1.42238 
0.13125 1.40953 
0.1325 1.39585 
0.13375 1.38134 
0.135 1.36601 
0.13625 1.34988 
0.1375 1.33295 
0.13875 1.31523 
0.14 1.29673 
0.14125 1.27745 
0.1425 1.25742 
0.14375 1.23664 
0.145 1.21512 
0.14625 1.19287 
0.1475 1.16992 
0.14875 1.14627 
0.15 1.12193 
0.15125 1.09692 
0.1525 1.07126 
0.15375 1.04496 
0.155 1.01804 
0.15625 0.990503 
0.1575 0.962379 
0.15875 0.933681 
0.16 0.904427 
0.16125 0.874635 
0.1625 0.844322 
0.16375 0.813507 
0.165 0.782209 
0.16625 0.750448 
0.1675 0.718243 
0.16875 0.685615 
0.17 0.652582 
0.17125 0.619166 
0.1725 0.585388 
0.17375 0.551269 
0.175 0.516829 
0.17625 0.482091 
0.1775 0.447076 
0.17875 0.411807 
0.18 0.376304 
0.18125 0.340591 
0.1825 0.304691 
0.18375 0.268624 
0.185 0.232415 
0.18625 0.196086 
0.1875 0.15966 
0.18875 0.12316 
0.19 0.0866091 
0.19125 0.0500301 
0.1925 0.0134462 
0.19375 -0.0231193 
0.195 -0.0596435 
0.19625 -0.096103 
0.1975 -0.132475 
0.19875 -0.168736 
0.2 -0.204864 
0.20125 -0.240835 
0.2025 -0.276626 
0.20375 -0.312216 
0.205 -0.347581 
0.20625 -0.382699 
0.2075 -0.417547 
0.20875 -0.452104 
0.21 -0.486347 
0.21125 -0.520255 
0.2125 -0.553806 
0.21375 -0.586979 
0.215 -0.619753 
0.21625 -0.652106 
0.2175 -0.684019 
0.21875 -0.715471 
0.22 -0.746442 
0.22125 -0.776913 
0.2225 -0.806863 
0.22375 -0.836274 
0.225 -0.865127 
0.22625 -0.893404 
0.2275 -0.921086 
0.22875 -0.948157 
0.23 -0.974599 
0.23125 -1.00039 
0.2325 -1.02553 
0.23375 -1.04998 
0.235 -1.07374 
0.23625 -1.09679 
0.2375 -1.11912 
0.23875 -1.14071 
0.24 -1.16155 
0.24125 -1.18162 
0.2425 -1.20092 
0.24375 -1.21942 
0.245 -1.23713 
0.24625 -1.25402 
0.2475 -1.27008 
0.24875 -1.28531 
0.25 -1.2997 
0.25125 -1.31324 
0.2525 -1.32591 
0.25375 -1.33771 
0.255 -1.34864 
0.25625 -1.35868 
0.2575 -1.36784 
0.25875 -1.37609 
0.26 -1.38345 
0.26125 -1.38989 
0.2625 -1.39543 
0.26375 -1.40006 
0.265 -1.40376 
0.26625 -1.40655 
0.2675 -1.40842 
0.26875 -1.40937 
0.27 -1.40939 
0.27125 -1.40849 
0.2725 -1.40667 
0.27375 -1.40393 
0.275 -1.40028 
0.27625 -1.3957 
0.2775 -1.39021 
0.27875 -1.38382 
0.28 -1.37652 
0.28125 -1.36831 
0.2825 -1.35922 
0.28375 -1.34923 
0.285 -1.33836 
0.28625 -1.32662 
0.2875 -1.31401 
0.28875 -1.30054 
0.29 -1.28621 
0.29125 -1.27105 
0.2925 -1.25506 
0.29375 -1.23824 
0.295 -1.22061 
0.29625 -1.20219 
0.2975 -1.18298 
0.29875 -1.16299 
0.3 -1.14224 
0.30125 -1.12075 
0.3025 -1.09852 
0.30375 -1.07557 
0.305 -1.05192 
0.30625 -1.02758 
0.3075 -1.00256 
0.30875 -0.97689 
0.31 -0.950579 
0.31125 -0.923644 
0.3125 -0.896104 
0.31375 -0.867977 
0.315 -0.83928 
0.31625 -0.810033 
0.3175 -0.780254 
0.31875 -0.749964 
0.32 -0.719181 
0.32125 -0.687926 
0.3225 -0.656219 
0.32375 -0.624082 
0.325 -0.591534 
0.32625 -0.558597 
0.3275 -0.525292 
0.32875 -0.491642 
0.33 -0.457669 
0.33125 -0.423394 
0.3325 -0.388839 
0.33375 -0.354029 
0.335 -0.318984 
0.33625 -0.283728 
0.3375 -0.248285 
0.33875 -0.212677 
0.34 -0.176928 
0.34125 -0.14106 
0.3425 -0.105098 
0.34375 -0.0690652 
0.345 -0.0329848 
0.34625 0.00311948 
0.3475 0.0392239 
0.34875 0.0753049 
0.35 0.111339 
0.35125 0.147302 
0.3525 0.183171 
0.35375 0.218923 
0.355 0.254533 
0.35625 0.289979 
0.3575 0.325237 
0.35875 0.360284 
0.36 0.395098 
0.36125 0.429655 
0.3625 0.463932 
0.36375 0.497908 
0.365 0.53156 
0.36625 0.564867 
0.3675 0.597805 
0.36875 0.630354 
0.37 0.662492 
0.37125 0.694198 
0.3725 0.725451 
0.37375 0.756232 
0.375 0.786519 
0.37625 0.816293 
0.3775 0.845535 
0.37875 0.874225 
0.38 0.902344 
0.38125 0.929874 
0.3825 0.956797 
0.38375 0.983096 
0.385 1.00875 
0.38625 1.03375 
0.3875 1.05807 
