# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_wrt_sqL_1> 
0 0 
0.00125 2.63467e-06 
0.0025 3.42657e-06 
0.00375 2.93447e-06 
0.005 1.63257e-06 
0.00625 -8.17849e-08 
0.0075 -1.88092e-06 
0.00875 -3.50004e-06 
0.01 -4.73083e-06 
0.01125 -5.41552e-06 
0.0125 -5.44126e-06 
0.01375 -4.73493e-06 
0.015 -3.2583e-06 
0.01625 -1.00341e-06 
0.0175 2.01154e-06 
0.01875 5.74614e-06 
0.02 1.01414e-05 
0.02125 1.5123e-05 
0.0225 2.06043e-05 
0.02375 2.64895e-05 
0.025 3.26758e-05 
0.02625 3.90557e-05 
0.0275 4.55195e-05 
0.02875 5.1957e-05 
0.03 5.82592e-05 
0.03125 6.43196e-05 
0.0325 7.0036e-05 
0.03375 7.53116e-05 
0.035 8.00555e-05 
0.03625 8.41842e-05 
0.0375 8.76222e-05 
0.03875 9.03024e-05 
0.04 9.21666e-05 
0.04125 9.31662e-05 
0.0425 9.32622e-05 
0.04375 9.24254e-05 
0.045 9.06363e-05 
0.04625 8.78858e-05 
0.0475 8.41742e-05 
0.04875 7.95115e-05 
0.05 7.39173e-05 
0.05125 6.74203e-05 
0.0525 6.0058e-05 
0.05375 5.18763e-05 
0.055 4.29291e-05 
0.05625 3.32779e-05 
0.0575 2.29912e-05 
0.05875 1.2144e-05 
0.06 8.17161e-07 
0.06125 -1.09031e-05 
0.0625 -2.29258e-05 
0.06375 -3.51557e-05 
0.065 -4.74944e-05 
0.06625 -5.98404e-05 
0.0675 -7.20901e-05 
0.06875 -8.41381e-05 
0.07 -9.58785e-05 
0.07125 -0.000107205 
0.0725 -0.000118011 
0.07375 -0.000128192 
0.075 -0.000137644 
0.07625 -0.000146266 
0.0775 -0.000153959 
0.07875 -0.00016063 
0.08 -0.000166185 
0.08125 -0.000170539 
0.0825 -0.000173611 
0.08375 -0.000175323 
0.085 -0.000175605 
0.08625 -0.000174395 
0.0875 -0.000171635 
0.08875 -0.000167275 
0.09 -0.000161274 
0.09125 -0.000153597 
0.0925 -0.000144219 
0.09375 -0.000133123 
0.095 -0.000120301 
0.09625 -0.000105753 
0.0975 -8.9491e-05 
0.09875 -7.15341e-05 
0.1 -5.19121e-05 
0.10125 -3.06648e-05 
0.1025 -7.84146e-06 
0.10375 1.64982e-05 
0.105 4.22844e-05 
0.10625 6.94376e-05 
0.1075 9.78677e-05 
0.10875 0.000127475 
0.11 0.000158149 
0.11125 0.00018977 
0.1125 0.000222208 
0.11375 0.000255323 
0.115 0.000288967 
0.11625 0.000322981 
0.1175 0.000357197 
0.11875 0.000391439 
0.12 0.00042552 
0.12125 0.000459248 
0.1225 0.000492419 
0.12375 0.000524825 
0.125 0.000556247 
0.12625 0.00058646 
0.1275 0.000615233 
0.12875 0.000642328 
0.13 0.000667501 
0.13125 0.0006905 
0.1325 0.00071107 
0.13375 0.000728952 
0.135 0.00074388 
0.13625 0.000755585 
0.1375 0.000763794 
0.13875 0.000768232 
0.14 0.000768621 
0.14125 0.000764678 
0.1425 0.000756122 
0.14375 0.00074267 
0.145 0.000724035 
0.14625 0.000699935 
0.1475 0.000670083 
0.14875 0.000634196 
0.15 0.00059199 
0.15125 0.000543185 
0.1525 0.000487501 
0.15375 0.000424662 
0.155 0.000354394 
0.15625 0.000276427 
0.1575 0.000190495 
0.15875 9.63373e-05 
0.16 -6.30346e-06 
0.16125 -0.000117678 
0.1625 -0.000238032 
0.16375 -0.000367604 
0.165 -0.000506627 
0.16625 -0.000655326 
0.1675 -0.000813918 
0.16875 -0.000982613 
0.17 -0.00116161 
0.17125 -0.00135111 
0.1725 -0.00155129 
0.17375 -0.00176232 
0.175 -0.00198438 
0.17625 -0.00221761 
0.1775 -0.00246216 
0.17875 -0.00271816 
0.18 -0.00298574 
0.18125 -0.00326501 
0.1825 -0.00355606 
0.18375 -0.00385899 
0.185 -0.00417388 
0.18625 -0.00450079 
0.1875 -0.00483976 
0.18875 -0.00519085 
0.19 -0.00555408 
0.19125 -0.00592947 
0.1925 -0.00631701 
0.19375 -0.0067167 
0.195 -0.00712852 
0.19625 -0.00755242 
0.1975 -0.00798837 
0.19875 -0.0084363 
0.2 -0.00889613 
0.20125 -0.00936778 
0.2025 -0.00985114 
0.20375 -0.0103461 
0.205 -0.0108525 
0.20625 -0.0113703 
0.2075 -0.0118993 
0.20875 -0.0124393 
0.21 -0.0129901 
0.21125 -0.0135516 
0.2125 -0.0141236 
0.21375 -0.0147058 
0.215 -0.015298 
0.21625 -0.0159 
0.2175 -0.0165116 
0.21875 -0.0171325 
0.22 -0.0177623 
0.22125 -0.018401 
0.2225 -0.019048 
0.22375 -0.0197033 
0.225 -0.0203664 
0.22625 -0.021037 
0.2275 -0.0217149 
0.22875 -0.0223996 
0.23 -0.0230909 
0.23125 -0.0237883 
0.2325 -0.0244916 
0.23375 -0.0252004 
0.235 -0.0259143 
0.23625 -0.026633 
0.2375 -0.027356 
0.23875 -0.028083 
0.24 -0.0288135 
0.24125 -0.0295473 
0.2425 -0.0302839 
0.24375 -0.0310228 
0.245 -0.0317638 
0.24625 -0.0325064 
0.2475 -0.0332501 
0.24875 -0.0339946 
0.25 -0.0347395 
0.25125 -0.0354844 
0.2525 -0.0362288 
0.25375 -0.0369723 
0.255 -0.0377146 
0.25625 -0.0384552 
0.2575 -0.0391937 
0.25875 -0.0399298 
0.26 -0.0406629 
0.26125 -0.0413928 
0.2625 -0.0421191 
0.26375 -0.0428413 
0.265 -0.043559 
0.26625 -0.0442719 
0.2675 -0.0449797 
0.26875 -0.0456819 
0.27 -0.0463782 
0.27125 -0.0470682 
0.2725 -0.0477516 
0.27375 -0.0484281 
0.275 -0.0490972 
0.27625 -0.0497588 
0.2775 -0.0504125 
0.27875 -0.0510579 
0.28 -0.0516948 
0.28125 -0.052323 
0.2825 -0.052942 
0.28375 -0.0535517 
0.285 -0.0541519 
0.28625 -0.0547421 
0.2875 -0.0553224 
0.28875 -0.0558923 
0.29 -0.0564517 
0.29125 -0.0570004 
0.2925 -0.0575383 
0.29375 -0.0580651 
0.295 -0.0585806 
0.29625 -0.0590848 
0.2975 -0.0595775 
0.29875 -0.0600586 
0.3 -0.0605279 
0.30125 -0.0609854 
0.3025 -0.061431 
0.30375 -0.0618646 
0.305 -0.0622861 
0.30625 -0.0626955 
0.3075 -0.0630928 
0.30875 -0.063478 
0.31 -0.063851 
0.31125 -0.0642118 
0.3125 -0.0645605 
0.31375 -0.0648971 
0.315 -0.0652216 
0.31625 -0.0655341 
0.3175 -0.0658347 
0.31875 -0.0661234 
0.32 -0.0664004 
0.32125 -0.0666657 
0.3225 -0.0669194 
0.32375 -0.0671617 
0.325 -0.0673927 
0.32625 -0.0676126 
0.3275 -0.0678214 
0.32875 -0.0680195 
0.33 -0.0682069 
0.33125 -0.0683838 
0.3325 -0.0685505 
0.33375 -0.0687071 
0.335 -0.0688539 
0.33625 -0.068991 
0.3375 -0.0691187 
0.33875 -0.0692373 
0.34 -0.0693469 
0.34125 -0.0694478 
0.3425 -0.0695403 
0.34375 -0.0696246 
0.345 -0.069701 
0.34625 -0.0697698 
0.3475 -0.0698312 
0.34875 -0.0698854 
0.35 -0.0699329 
0.35125 -0.0699738 
0.3525 -0.0700085 
0.35375 -0.0700371 
0.355 -0.0700601 
0.35625 -0.0700777 
0.3575 -0.0700901 
0.35875 -0.0700977 
0.36 -0.0701007 
0.36125 -0.0700995 
0.3625 -0.0700943 
0.36375 -0.0700853 
0.365 -0.0700729 
0.36625 -0.0700574 
0.3675 -0.0700389 
0.36875 -0.0700178 
0.37 -0.0699944 
0.37125 -0.0699688 
0.3725 -0.0699413 
0.37375 -0.0699122 
0.375 -0.0698817 
0.37625 -0.0698501 
0.3775 -0.0698175 
0.37875 -0.0697842 
0.38 -0.0697503 
0.38125 -0.0697162 
0.3825 -0.0696819 
0.38375 -0.0696477 
0.385 -0.0696138 
0.38625 -0.0695802 
0.3875 -0.0695472 
0.38875 -0.0695149 
0.39 -0.0694835 
0.39125 -0.069453 
0.3925 -0.0694237 
0.39375 -0.0693955 
0.395 -0.0693686 
0.39625 -0.0693432 
0.3975 -0.0693191 
0.39875 -0.0692967 
0.4 -0.0692758 
0.40125 -0.0692565 
0.4025 -0.0692389 
0.40375 -0.0692231 
0.405 -0.0692089 
0.40625 -0.0691965 
0.4075 -0.0691858 
0.40875 -0.0691768 
0.41 -0.0691696 
0.41125 -0.069164 
0.4125 -0.06916 
0.41375 -0.0691577 
0.415 -0.0691568 
0.41625 -0.0691575 
0.4175 -0.0691596 
0.41875 -0.0691631 
0.42 -0.0691678 
0.42125 -0.0691737 
0.4225 -0.0691807 
0.42375 -0.0691888 
0.425 -0.0691977 
0.42625 -0.0692075 
0.4275 -0.069218 
0.42875 -0.0692291 
0.43 -0.0692407 
0.43125 -0.0692527 
0.4325 -0.069265 
0.43375 -0.0692775 
0.435 -0.0692901 
0.43625 -0.0693026 
0.4375 -0.069315 
0.43875 -0.0693273 
0.44 -0.0693392 
0.44125 -0.0693507 
0.4425 -0.0693617 
0.44375 -0.0693721 
0.445 -0.0693819 
0.44625 -0.069391 
0.4475 -0.0693994 
0.44875 -0.0694069 
0.45 -0.0694135 
0.45125 -0.0694193 
0.4525 -0.0694241 
0.45375 -0.069428 
0.455 -0.0694309 
0.45625 -0.0694329 
0.4575 -0.0694339 
0.45875 -0.069434 
0.46 -0.0694332 
0.46125 -0.0694316 
0.4625 -0.0694292 
0.46375 -0.069426 
0.465 -0.0694222 
0.46625 -0.0694178 
0.4675 -0.0694129 
0.46875 -0.0694075 
0.47 -0.0694019 
0.47125 -0.069396 
0.4725 -0.06939 
0.47375 -0.069384 
0.475 -0.0693782 
0.47625 -0.0693725 
0.4775 -0.0693672 
0.47875 -0.0693623 
0.48 -0.0693579 
0.48125 -0.0693542 
0.4825 -0.0693511 
0.48375 -0.0693488 
0.485 -0.0693472 
0.48625 -0.0693464 
0.4875 -0.0693463 
0.48875 -0.069347 
0.49 -0.0693484 
0.49125 -0.0693502 
0.4925 -0.0693524 
0.49375 -0.0693548 
0.495 -0.069357 
0.49625 -0.0693587 
0.4975 -0.0693595 
0.49875 -0.0693589 
0.5 -0.0693564 


0.5 -0.0693564 
0.50125 -0.0693589 
0.5025 -0.0693595 
0.50375 -0.0693587 
0.505 -0.069357 
0.50625 -0.0693548 
0.5075 -0.0693524 
0.50875 -0.0693502 
0.51 -0.0693484 
0.51125 -0.069347 
0.5125 -0.0693463 
0.51375 -0.0693464 
0.515 -0.0693472 
0.51625 -0.0693488 
0.5175 -0.0693511 
0.51875 -0.0693542 
0.52 -0.0693579 
0.52125 -0.0693623 
0.5225 -0.0693672 
0.52375 -0.0693725 
0.525 -0.0693782 
0.52625 -0.069384 
0.5275 -0.06939 
0.52875 -0.069396 
0.53 -0.0694019 
0.53125 -0.0694075 
0.5325 -0.0694129 
0.53375 -0.0694178 
0.535 -0.0694222 
0.53625 -0.069426 
0.5375 -0.0694292 
0.53875 -0.0694316 
0.54 -0.0694332 
0.54125 -0.069434 
0.5425 -0.0694339 
0.54375 -0.0694329 
0.545 -0.0694309 
0.54625 -0.069428 
0.5475 -0.0694241 
0.54875 -0.0694193 
0.55 -0.0694135 
0.55125 -0.0694069 
0.5525 -0.0693994 
0.55375 -0.069391 
0.555 -0.0693819 
0.55625 -0.0693721 
0.5575 -0.0693617 
0.55875 -0.0693507 
0.56 -0.0693392 
0.56125 -0.0693273 
0.5625 -0.069315 
0.56375 -0.0693026 
0.565 -0.0692901 
0.56625 -0.0692775 
0.5675 -0.069265 
0.56875 -0.0692527 
0.57 -0.0692407 
0.57125 -0.0692291 
0.5725 -0.069218 
0.57375 -0.0692075 
0.575 -0.0691977 
0.57625 -0.0691888 
0.5775 -0.0691807 
0.57875 -0.0691737 
0.58 -0.0691678 
0.58125 -0.0691631 
0.5825 -0.0691596 
0.58375 -0.0691575 
0.585 -0.0691568 
0.58625 -0.0691577 
0.5875 -0.06916 
0.58875 -0.069164 
0.59 -0.0691696 
0.59125 -0.0691768 
0.5925 -0.0691858 
0.59375 -0.0691965 
0.595 -0.0692089 
0.59625 -0.0692231 
0.5975 -0.0692389 
0.59875 -0.0692565 
0.6 -0.0692758 
0.60125 -0.0692967 
0.6025 -0.0693191 
0.60375 -0.0693432 
