# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_20> 
0 0 
0.00125 -0.00792496 
0.0025 -0.0134065 
0.00375 -0.0168188 
0.005 -0.0184991 
0.00625 -0.0187504 
0.0075 -0.017844 
0.00875 -0.0160216 
0.01 -0.0134976 
0.01125 -0.0104611 
0.0125 -0.00707778 
0.01375 -0.00349198 
0.015 0.000171802 
0.01625 0.00380717 
0.0175 0.00732425 
0.01875 0.0106483 
0.02 0.0137183 
0.02125 0.0164856 
0.0225 0.0189129 
0.02375 0.0209729 
0.025 0.0226473 
0.02625 0.0239259 
0.0275 0.0248057 
0.02875 0.0252897 
0.03 0.0253866 
0.03125 0.0251097 
0.0325 0.0244764 
0.03375 0.0235072 
0.035 0.0222258 
0.03625 0.0206579 
0.0375 0.0188309 
0.03875 0.0167737 
0.04 0.014516 
0.04125 0.012088 
0.0425 0.00952006 
0.04375 0.00684248 
0.045 0.00408509 
0.04625 0.00127711 
0.0475 -0.00155311 
0.04875 -0.00437826 
0.05 -0.00717224 
0.05125 -0.00991032 
0.0525 -0.0125692 
0.05375 -0.0151272 
0.055 -0.0175642 
0.05625 -0.0198618 
0.0575 -0.0220034 
0.05875 -0.0239742 
0.06 -0.0257611 
0.06125 -0.0273528 
0.0625 -0.0287399 
0.06375 -0.0299145 
0.065 -0.0308708 
0.06625 -0.0316043 
0.0675 -0.0321125 
0.06875 -0.0323942 
0.07 -0.03245 
0.07125 -0.0322817 
0.0725 -0.0318927 
0.07375 -0.0312877 
0.075 -0.0304725 
0.07625 -0.0294541 
0.0775 -0.0282408 
0.07875 -0.0268416 
0.08 -0.0252667 
0.08125 -0.0235267 
0.0825 -0.0216335 
0.08375 -0.0195991 
0.085 -0.0174365 
0.08625 -0.015159 
0.0875 -0.0127801 
0.08875 -0.010314 
0.09 -0.00777492 
0.09125 -0.00517717 
0.0925 -0.00253527 
0.09375 0.000136305 
0.095 0.00282315 
0.09625 0.00551098 
0.0975 0.00818574 
0.09875 0.0108336 
0.1 0.0134411 
0.10125 0.0159951 
0.1025 0.0184829 
0.10375 0.0208923 
0.105 0.0232116 
