# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:32
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_M_16> 
0 0 
0.00125 0.0103944 
0.0025 0.0175544 
0.00375 0.0219367 
0.005 0.0239596 
0.00625 0.0240054 
0.0075 0.0224222 
0.00875 0.0195262 
0.01 0.0156033 
0.01125 0.0109107 
0.0125 0.0056792 
0.01375 0.000114238 
0.015 -0.00560219 
0.01625 -0.0113101 
0.0175 -0.01687 
0.01875 -0.0221618 
0.02 -0.0270829 
0.02125 -0.0315476 
0.0225 -0.0354853 
0.02375 -0.0388397 
0.025 -0.0415676 
0.02625 -0.0436377 
0.0275 -0.0450299 
0.02875 -0.0457341 
0.03 -0.0457493 
0.03125 -0.0450829 
0.0325 -0.0437495 
0.03375 -0.0417707 
0.035 -0.0391739 
0.03625 -0.0359918 
0.0375 -0.0322617 
0.03875 -0.0280249 
0.04 -0.0233259 
0.04125 -0.0182123 
0.0425 -0.0127339 
0.04375 -0.00694228 
0.045 -0.000890548 
0.04625 0.00536734 
0.0475 0.0117768 
0.04875 0.0182831 
0.05 0.0248317 
0.05125 0.0313683 
0.0525 0.0378395 
0.05375 0.0441931 
0.055 0.0503777 
0.05625 0.0563439 
0.0575 0.0620435 
0.05875 0.0674305 
0.06 0.0724607 
0.06125 0.0770923 
0.0625 0.0812857 
0.06375 0.0850035 
0.065 0.0882111 
0.06625 0.0908763 
0.0675 0.0929696 
0.06875 0.0944642 
0.07 0.095336 
0.07125 0.0955637 
0.0725 0.0951288 
0.07375 0.0940154 
0.075 0.0922105 
0.07625 0.089704 
0.0775 0.0864884 
0.07875 0.0825587 
0.08 0.0779129 
0.08125 0.0725514 
0.0825 0.0664773 
0.08375 0.059696 
0.085 0.0522154 
0.08625 0.044046 
0.0875 0.0352001 
0.08875 0.0256927 
0.09 0.0155405 
0.09125 0.00476253 
0.0925 -0.00662052 
0.09375 -0.0185859 
0.095 -0.0311094 
0.09625 -0.0441648 
0.0975 -0.0577246 
0.09875 -0.0717599 
0.1 -0.0862403 
0.10125 -0.101134 
0.1025 -0.116409 
0.10375 -0.132032 
0.105 -0.147967 
0.10625 -0.164179 
0.1075 -0.180633 
0.10875 -0.197292 
0.11 -0.214118 
0.11125 -0.231075 
0.1125 -0.248124 
0.11375 -0.265227 
0.115 -0.282346 
0.11625 -0.299444 
0.1175 -0.316483 
0.11875 -0.333424 
0.12 -0.350231 
0.12125 -0.366865 
0.1225 -0.383292 
0.12375 -0.399473 
0.125 -0.415375 
0.12625 -0.430963 
0.1275 -0.446202 
0.12875 -0.461059 
0.13 -0.475502 
0.13125 -0.4895 
0.1325 -0.503023 
0.13375 -0.516041 
0.135 -0.528526 
0.13625 -0.540453 
0.1375 -0.551795 
0.13875 -0.562527 
0.14 -0.572628 
0.14125 -0.582075 
0.1425 -0.590849 
0.14375 -0.59893 
0.145 -0.606302 
0.14625 -0.612949 
0.1475 -0.618856 
0.14875 -0.624012 
0.15 -0.628404 
0.15125 -0.632023 
0.1525 -0.634861 
0.15375 -0.636912 
0.155 -0.638171 
0.15625 -0.638634 
0.1575 -0.6383 
0.15875 -0.637169 
0.16 -0.635242 
0.16125 -0.632521 
0.1625 -0.629012 
0.16375 -0.624721 
0.165 -0.619654 
0.16625 -0.613821 
0.1675 -0.607232 
0.16875 -0.599899 
0.17 -0.591835 
0.17125 -0.583055 
0.1725 -0.573574 
0.17375 -0.56341 
0.175 -0.55258 
0.17625 -0.541105 
0.1775 -0.529005 
0.17875 -0.516302 
0.18 -0.503019 
0.18125 -0.489179 
0.1825 -0.474809 
0.18375 -0.459933 
0.185 -0.444578 
0.18625 -0.428772 
0.1875 -0.412543 
0.18875 -0.39592 
0.19 -0.378933 
0.19125 -0.361612 
0.1925 -0.343988 
0.19375 -0.326093 
0.195 -0.307957 
0.19625 -0.289614 
0.1975 -0.271096 
0.19875 -0.252435 
0.2 -0.233664 
0.20125 -0.214817 
0.2025 -0.195927 
0.20375 -0.177027 
0.205 -0.15815 
0.20625 -0.139329 
0.2075 -0.120598 
0.20875 -0.101988 
0.21 -0.0835336 
0.21125 -0.0652654 
0.2125 -0.0472159 
0.21375 -0.0294164 
0.215 -0.0118979 
0.21625 0.00530912 
0.2175 0.0221748 
0.21875 0.03867 
0.22 0.054766 
0.22125 0.070435 
0.2225 0.08565 
0.22375 0.100384 
0.225 0.114613 
0.22625 0.128312 
0.2275 0.141456 
0.22875 0.154024 
0.23 0.165993 
0.23125 0.177344 
0.2325 0.188056 
0.23375 0.198112 
0.235 0.207493 
0.23625 0.216185 
0.2375 0.224171 
0.23875 0.231439 
0.24 0.237975 
0.24125 0.243769 
0.2425 0.248811 
0.24375 0.253091 
0.245 0.256604 
0.24625 0.259342 
0.2475 0.261301 
0.24875 0.262478 
0.25 0.262871 
0.25125 0.262478 
0.2525 0.261301 
0.25375 0.259342 
0.255 0.256604 
0.25625 0.253091 
0.2575 0.248811 
0.25875 0.243769 
0.26 0.237975 
0.26125 0.231439 
0.2625 0.224171 
0.26375 0.216185 
0.265 0.207493 
0.26625 0.198112 
0.2675 0.188056 
0.26875 0.177344 
0.27 0.165993 
0.27125 0.154024 
0.2725 0.141456 
0.27375 0.128312 
0.275 0.114613 
0.27625 0.100384 
0.2775 0.08565 
0.27875 0.070435 
0.28 0.054766 
0.28125 0.03867 
0.2825 0.0221748 
0.28375 0.00530912 
0.285 -0.0118979 
0.28625 -0.0294164 
0.2875 -0.0472159 
0.28875 -0.0652654 
0.29 -0.0835336 
0.29125 -0.101988 
0.2925 -0.120598 
0.29375 -0.139329 
0.295 -0.15815 
0.29625 -0.177027 
0.2975 -0.195927 
0.29875 -0.214817 
0.3 -0.233664 
0.30125 -0.252435 
0.3025 -0.271096 
0.30375 -0.289614 
0.305 -0.307957 
0.30625 -0.326093 
0.3075 -0.343988 
0.30875 -0.361612 
0.31 -0.378933 
0.31125 -0.39592 
0.3125 -0.412543 
0.31375 -0.428772 
0.315 -0.444578 
0.31625 -0.459933 
0.3175 -0.474809 
0.31875 -0.489179 
0.32 -0.503019 
0.32125 -0.516302 
0.3225 -0.529005 
0.32375 -0.541105 
0.325 -0.55258 
0.32625 -0.56341 
0.3275 -0.573574 
0.32875 -0.583055 
0.33 -0.591835 
0.33125 -0.599899 
0.3325 -0.607232 
0.33375 -0.613821 
0.335 -0.619654 
0.33625 -0.624721 
0.3375 -0.629012 
0.33875 -0.632521 
0.34 -0.635242 
0.34125 -0.637169 
0.3425 -0.6383 
0.34375 -0.638634 
0.345 -0.638171 
0.34625 -0.636912 
0.3475 -0.634861 
0.34875 -0.632023 
0.35 -0.628404 
0.35125 -0.624012 
0.3525 -0.618856 
0.35375 -0.612949 
0.355 -0.606302 
0.35625 -0.59893 
0.3575 -0.590849 
0.35875 -0.582075 
0.36 -0.572628 
0.36125 -0.562527 
0.3625 -0.551795 
0.36375 -0.540453 
0.365 -0.528526 
0.36625 -0.516041 
0.3675 -0.503023 
0.36875 -0.4895 
0.37 -0.475502 
0.37125 -0.461059 
0.3725 -0.446202 
0.37375 -0.430963 
0.375 -0.415375 
0.37625 -0.399473 
0.3775 -0.383292 
0.37875 -0.366865 
0.38 -0.350231 
0.38125 -0.333424 
0.3825 -0.316483 
0.38375 -0.299444 
0.385 -0.282346 
0.38625 -0.265227 
0.3875 -0.248124 
0.38875 -0.231075 
0.39 -0.214118 
0.39125 -0.197292 
0.3925 -0.180633 
0.39375 -0.164179 
0.395 -0.147967 
0.39625 -0.132032 
0.3975 -0.116409 
0.39875 -0.101134 
0.4 -0.0862403 
0.40125 -0.0717599 
0.4025 -0.0577246 
0.40375 -0.0441648 
0.405 -0.0311094 
0.40625 -0.0185859 
0.4075 -0.00662052 
0.40875 0.00476253 
0.41 0.0155405 
0.41125 0.0256927 
0.4125 0.0352001 
0.41375 0.044046 
0.415 0.0522154 
0.41625 0.059696 
0.4175 0.0664773 
0.41875 0.0725514 
0.42 0.0779129 
0.42125 0.0825587 
0.4225 0.0864884 
0.42375 0.089704 
0.425 0.0922105 
0.42625 0.0940154 
0.4275 0.0951288 
0.42875 0.0955637 
0.43 0.095336 
0.43125 0.0944642 
0.4325 0.0929696 
0.43375 0.0908763 
0.435 0.0882111 
0.43625 0.0850035 
0.4375 0.0812857 
0.43875 0.0770923 
0.44 0.0724607 
0.44125 0.0674305 
0.4425 0.0620435 
0.44375 0.0563439 
0.445 0.0503777 
0.44625 0.0441931 
0.4475 0.0378395 
0.44875 0.0313683 
0.45 0.0248317 
0.45125 0.0182831 
0.4525 0.0117768 
0.45375 0.00536734 
0.455 -0.000890548 
0.45625 -0.00694228 
0.4575 -0.0127339 
0.45875 -0.0182123 
0.46 -0.0233259 
0.46125 -0.0280249 
0.4625 -0.0322617 
0.46375 -0.0359918 
0.465 -0.0391739 
0.46625 -0.0417707 
0.4675 -0.0437495 
0.46875 -0.0450829 
0.47 -0.0457493 
0.47125 -0.0457341 
0.4725 -0.0450299 
0.47375 -0.0436377 
0.475 -0.0415676 
0.47625 -0.0388397 
0.4775 -0.0354853 
0.47875 -0.0315476 
0.48 -0.0270829 
0.48125 -0.0221618 
0.4825 -0.01687 
0.48375 -0.0113101 
0.485 -0.00560219 
0.48625 0.000114238 
0.4875 0.0056792 
0.48875 0.0109107 
0.49 0.0156033 
0.49125 0.0195262 
0.4925 0.0224222 
0.49375 0.0240054 
0.495 0.0239596 
0.49625 0.0219367 
0.4975 0.0175544 
0.49875 0.0103944 
0.5 1.65224e-16 


0.5 1.65224e-16 
0.50125 -0.00534751 
0.5025 -0.0090311 
0.50375 -0.0112856 
0.505 -0.0123263 
0.50625 -0.0123499 
0.5075 -0.0115354 
0.50875 -0.0100455 
0.51 -0.00802729 
0.51125 -0.00561315 
0.5125 -0.00292174 
0.51375 -5.87712e-05 
0.515 0.00288212 
0.51625 0.00581862 
0.5175 0.00867901 
0.51875 0.0114014 
0.52 0.0139332 
0.52125 0.0162301 
0.5225 0.0182559 
0.52375 0.0199816 
0.525 0.021385 
0.52625 0.02245 
0.5275 0.0231662 
0.52875 0.0235285 
0.53 0.0235363 
0.53125 0.0231934 
0.5325 0.0225075 
0.53375 0.0214895 
0.535 0.0201535 
0.53625 0.0185165 
0.5375 0.0165975 
0.53875 0.0144178 
0.54 0.0120003 
0.54125 0.00936955 
0.5425 0.00655111 
0.54375 0.00357155 
0.545 0.000458154 
0.54625 -0.00276129 
0.5475 -0.00605873 
0.54875 -0.00940599 
0.55 -0.012775 
0.55125 -0.0161378 
0.5525 -0.019467 
0.55375 -0.0227357 
0.555 -0.0259175 
0.55625 -0.0289868 
0.5575 -0.031919 
0.55875 -0.0346905 
0.56 -0.0372783 
0.56125 -0.0396611 
0.5625 -0.0418184 
0.56375 -0.0437311 
0.565 -0.0453813 
0.56625 -0.0467525 
0.5675 -0.0478294 
0.56875 -0.0485983 
0.57 -0.0490468 
0.57125 -0.049164 
0.5725 -0.0489402 
0.57375 -0.0483674 
0.575 -0.0474389 
0.57625 -0.0461494 
0.5775 -0.044495 
0.57875 -0.0424734 
0.58 -0.0400833 
0.58125 -0.037325 
0.5825 -0.0342001 
0.58375 -0.0307113 
0.585 -0.0268629 
0.58625 -0.02266 
0.5875 -0.0181092 
0.58875 -0.0132179 
0.59 -0.00799503 
0.59125 -0.00245014 
0.5925 0.00340601 
0.59375 0.00956177 
0.595 0.0160046 
0.59625 0.0227211 
0.5975 0.0296971 
0.59875 0.0369178 
0.6 0.0443674 
0.60125 0.0520298 
0.6025 0.0598882 
0.60375 0.0679253 
0.605 0.0761233 
0.60625 0.0844641 
0.6075 0.092929 
0.60875 0.101499 
0.61 0.110156 
0.61125 0.118879 
0.6125 0.12765 
0.61375 0.136449 
0.615 0.145257 
0.61625 0.154053 
0.6175 0.162819 
0.61875 0.171534 
0.62 0.180181 
0.62125 0.188738 
0.6225 0.197189 
0.62375 0.205514 
0.625 0.213695 
0.62625 0.221714 
0.6275 0.229554 
0.62875 0.237198 
0.63 0.244628 
0.63125 0.251829 
0.6325 0.258786 
0.63375 0.265484 
0.635 0.271907 
0.63625 0.278043 
0.6375 0.283878 
0.63875 0.289399 
0.64 0.294596 
0.64125 0.299456 
0.6425 0.30397 
0.64375 0.308127 
0.645 0.31192 
0.64625 0.315339 
0.6475 0.318379 
0.64875 0.321031 
0.65 0.32329 
0.65125 0.325152 
0.6525 0.326612 
0.65375 0.327667 
0.655 0.328315 
