# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_sqL_16> 
0 0 
0.00125 0.000828211 
0.0025 0.0057128 
0.00375 0.0138 
0.005 0.0243274 
0.00625 0.0366178 
0.0075 0.0500729 
0.00875 0.0641675 
0.01 0.0784441 
0.01125 0.0925078 
0.0125 0.106021 
0.01375 0.118699 
0.015 0.130307 
0.01625 0.140651 
0.0175 0.149581 
0.01875 0.156983 
0.02 0.162773 
0.02125 0.166901 
0.0225 0.169342 
0.02375 0.170095 
0.025 0.16918 
0.02625 0.166635 
0.0275 0.162517 
0.02875 0.156893 
0.03 0.149847 
0.03125 0.141468 
0.0325 0.131857 
0.03375 0.121121 
0.035 0.10937 
0.03625 0.096721 
0.0375 0.0832918 
0.03875 0.0692018 
0.04 0.054571 
0.04125 0.0395185 
0.0425 0.0241622 
0.04375 0.00861748 
0.045 -0.00700316 
0.04625 -0.0225908 
0.0475 -0.0380406 
0.04875 -0.0532525 
0.05 -0.0681313 
0.05125 -0.0825873 
0.0525 -0.0965362 
0.05375 -0.1099 
0.055 -0.122606 
0.05625 -0.134589 
0.0575 -0.145788 
0.05875 -0.156152 
0.06 -0.165632 
0.06125 -0.174187 
0.0625 -0.181785 
0.06375 -0.188396 
0.065 -0.193999 
0.06625 -0.198577 
0.0675 -0.20212 
0.06875 -0.204625 
0.07 -0.20609 
0.07125 -0.206524 
0.0725 -0.205935 
0.07375 -0.204342 
0.075 -0.201763 
0.07625 -0.198224 
0.0775 -0.193753 
0.07875 -0.188383 
0.08 -0.18215 
0.08125 -0.175092 
0.0825 -0.167252 
0.08375 -0.158674 
0.085 -0.149406 
0.08625 -0.139496 
0.0875 -0.128996 
0.08875 -0.117959 
0.09 -0.106437 
0.09125 -0.0944868 
0.0925 -0.0821631 
0.09375 -0.0695222 
0.095 -0.0566209 
0.09625 -0.0435157 
0.0975 -0.030263 
0.09875 -0.016919 
0.1 -0.00353907 
0.10125 0.00982198 
0.1025 0.0231105 
0.10375 0.0362737 
0.105 0.0492606 
0.10625 0.0620212 
0.1075 0.0745074 
0.10875 0.0866728 
0.11 0.098473 
0.11125 0.109866 
0.1125 0.12081 
0.11375 0.131269 
0.115 0.141205 
0.11625 0.150587 
0.1175 0.159382 
0.11875 0.167563 
0.12 0.175104 
0.12125 0.181981 
0.1225 0.188174 
0.12375 0.193666 
0.125 0.198441 
0.12625 0.202487 
0.1275 0.205794 
0.12875 0.208355 
0.13 0.210165 
0.13125 0.211223 
0.1325 0.21153 
0.13375 0.211088 
0.135 0.209904 
0.13625 0.207985 
0.1375 0.205343 
0.13875 0.20199 
0.14 0.197942 
0.14125 0.193215 
0.1425 0.18783 
0.14375 0.181807 
0.145 0.17517 
0.14625 0.167943 
0.1475 0.160154 
0.14875 0.15183 
0.15 0.143002 
0.15125 0.133701 
0.1525 0.123959 
0.15375 0.113809 
0.155 0.103286 
0.15625 0.0924258 
0.1575 0.0812646 
0.15875 0.0698392 
0.16 0.0581873 
0.16125 0.0463469 
0.1625 0.0343562 
0.16375 0.0222538 
0.165 0.0100784 
0.16625 -0.00213137 
0.1675 -0.014337 
0.16875 -0.0265001 
0.17 -0.0385829 
0.17125 -0.0505477 
0.1725 -0.0623577 
0.17375 -0.0739765 
0.175 -0.0853685 
0.17625 -0.0964991 
0.1775 -0.107334 
0.17875 -0.117842 
0.18 -0.12799 
0.18125 -0.137747 
0.1825 -0.147086 
0.18375 -0.155977 
0.185 -0.164395 
0.18625 -0.172315 
0.1875 -0.179713 
0.18875 -0.186567 
0.19 -0.192858 
0.19125 -0.198566 
0.1925 -0.203675 
0.19375 -0.20817 
0.195 -0.212039 
0.19625 -0.215269 
0.1975 -0.217851 
0.19875 -0.219777 
0.2 -0.221043 
0.20125 -0.221643 
0.2025 -0.221577 
0.20375 -0.220844 
0.205 -0.219446 
0.20625 -0.217387 
0.2075 -0.214672 
0.20875 -0.21131 
0.21 -0.207308 
0.21125 -0.20268 
0.2125 -0.197436 
0.21375 -0.191592 
0.215 -0.185164 
0.21625 -0.178171 
0.2175 -0.170631 
0.21875 -0.162565 
0.22 -0.153996 
0.22125 -0.144949 
0.2225 -0.135447 
0.22375 -0.125518 
0.225 -0.11519 
0.22625 -0.104491 
0.2275 -0.0934509 
0.22875 -0.0821013 
0.23 -0.0704738 
0.23125 -0.0586009 
0.2325 -0.0465161 
0.23375 -0.0342534 
0.235 -0.0218474 
0.23625 -0.00933317 
0.2375 0.00325392 
0.23875 0.0158781 
0.24 0.0285035 
0.24125 0.0410941 
0.2425 0.0536139 
0.24375 0.066027 
0.245 0.0782975 
0.24625 0.0903902 
0.2475 0.10227 
0.24875 0.113902 
0.25 0.125252 
0.25125 0.136287 
0.2525 0.146974 
0.25375 0.157282 
0.255 0.167179 
0.25625 0.176636 
0.2575 0.185622 
0.25875 0.194112 
0.26 0.202078 
0.26125 0.209496 
0.2625 0.216341 
0.26375 0.22259 
0.265 0.228224 
0.26625 0.233224 
0.2675 0.23757 
0.26875 0.241248 
0.27 0.244244 
0.27125 0.246544 
0.2725 0.248139 
0.27375 0.24902 
0.275 0.249181 
0.27625 0.248615 
0.2775 0.247321 
0.27875 0.245299 
0.28 0.242548 
0.28125 0.239072 
0.2825 0.234878 
0.28375 0.229971 
0.285 0.224361 
0.28625 0.21806 
0.2875 0.21108 
0.28875 0.203439 
0.29 0.195151 
0.29125 0.186238 
0.2925 0.17672 
0.29375 0.16662 
0.295 0.155963 
0.29625 0.144775 
0.2975 0.133086 
0.29875 0.120925 
0.3 0.108324 
0.30125 0.0953154 
0.3025 0.0819348 
0.30375 0.0682179 
0.305 0.054202 
0.30625 0.0399257 
0.3075 0.0254288 
0.30875 0.0107519 
0.31 -0.00406328 
0.31125 -0.0189743 
0.3125 -0.0339378 
0.31375 -0.0489101 
0.315 -0.0638468 
0.31625 -0.0787031 
0.3175 -0.093434 
0.31875 -0.107994 
0.32 -0.122339 
0.32125 -0.136423 
0.3225 -0.150201 
0.32375 -0.163629 
0.325 -0.176662 
0.32625 -0.189258 
0.3275 -0.201374 
0.32875 -0.212967 
0.33 -0.223997 
0.33125 -0.234424 
0.3325 -0.244211 
0.33375 -0.253319 
0.335 -0.261713 
0.33625 -0.26936 
0.3375 -0.276227 
0.33875 -0.282285 
0.34 -0.287505 
0.34125 -0.291861 
0.3425 -0.295329 
0.34375 -0.297888 
0.345 -0.29952 
0.34625 -0.300207 
0.3475 -0.299935 
0.34875 -0.298695 
0.35 -0.296478 
0.35125 -0.293279 
0.3525 -0.289095 
0.35375 -0.283927 
0.355 -0.27778 
0.35625 -0.27066 
0.3575 -0.262579 
0.35875 -0.253548 
0.36 -0.243586 
0.36125 -0.232713 
0.3625 -0.220952 
0.36375 -0.20833 
0.365 -0.194876 
0.36625 -0.180626 
0.3675 -0.165614 
0.36875 -0.149881 
0.37 -0.13347 
0.37125 -0.116426 
0.3725 -0.0988003 
0.37375 -0.0806433 
0.375 -0.0620103 
0.37625 -0.0429589 
0.3775 -0.0235495 
0.37875 -0.00384459 
0.38 0.0160906 
0.38125 0.0361889 
0.3825 0.0563809 
0.38375 0.0765957 
0.385 0.0967605 
0.38625 0.116801 
0.3875 0.136642 
0.38875 0.156207 
0.39 0.175418 
0.39125 0.194199 
0.3925 0.212471 
0.39375 0.230156 
0.395 0.247177 
0.39625 0.263456 
0.3975 0.278918 
0.39875 0.293487 
0.4 0.30709 
0.40125 0.319655 
0.4025 0.331114 
0.40375 0.341399 
0.405 0.350445 
0.40625 0.358193 
0.4075 0.364585 
0.40875 0.369567 
0.41 0.37309 
0.41125 0.37511 
0.4125 0.375586 
0.41375 0.374486 
0.415 0.37178 
0.41625 0.367445 
0.4175 0.361465 
0.41875 0.353831 
0.42 0.344539 
0.42125 0.333595 
0.4225 0.321011 
0.42375 0.306807 
0.425 0.29101 
0.42625 0.273658 
0.4275 0.254795 
0.42875 0.234475 
0.43 0.212761 
0.43125 0.189724 
0.4325 0.165446 
0.43375 0.140016 
0.435 0.113534 
0.43625 0.0861078 
0.4375 0.0578549 
0.43875 0.028902 
0.44 -0.000615651 
0.44125 -0.0305541 
0.4425 -0.0607612 
0.44375 -0.0910768 
0.445 -0.121333 
