# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <phi_1> 
0 0 
0.00125 -0.0775183 
0.0025 -0.13314 
0.00375 -0.169334 
0.005 -0.188391 
0.00625 -0.192433 
0.0075 -0.183422 
0.00875 -0.163166 
0.01 -0.133334 
0.01125 -0.0954548 
0.0125 -0.0509332 
0.01375 -0.00105169 
0.015 0.0530202 
0.01625 0.11022 
0.0175 0.169585 
0.01875 0.230248 
0.02 0.29143 
0.02125 0.352433 
0.0225 0.412638 
0.02375 0.471499 
0.025 0.528537 
0.02625 0.583336 
0.0275 0.635536 
0.02875 0.684836 
0.03 0.730982 
0.03125 0.773766 
0.0325 0.813026 
0.03375 0.848636 
0.035 0.880508 
0.03625 0.908588 
0.0375 0.932849 
0.03875 0.953294 
0.04 0.96995 
0.04125 0.982868 
0.0425 0.992115 
0.04375 0.99778 
0.045 0.999965 
0.04625 0.998788 
0.0475 0.994377 
0.04875 0.986872 
0.05 0.97642 
0.05125 0.963177 
0.0525 0.947304 
0.05375 0.928966 
0.055 0.908334 
0.05625 0.885577 
0.0575 0.860869 
0.05875 0.834383 
0.06 0.806291 
0.06125 0.776765 
0.0625 0.745973 
0.06375 0.714081 
0.065 0.681254 
0.06625 0.64765 
0.0675 0.613425 
0.06875 0.578728 
0.07 0.543704 
0.07125 0.508494 
0.0725 0.473232 
0.07375 0.438045 
0.075 0.403055 
0.07625 0.368379 
0.0775 0.334126 
0.07875 0.300398 
0.08 0.267291 
0.08125 0.234896 
0.0825 0.203295 
0.08375 0.172565 
0.085 0.142775 
0.08625 0.113989 
0.0875 0.0862645 
0.08875 0.0596519 
0.09 0.034196 
0.09125 0.00993528 
0.0925 -0.0130973 
0.09375 -0.0348748 
0.095 -0.0553757 
0.09625 -0.0745837 
0.0975 -0.0924878 
0.09875 -0.109082 
0.1 -0.124365 
0.10125 -0.13834 
0.1025 -0.151015 
0.10375 -0.1624 
0.105 -0.172513 
0.10625 -0.181372 
0.1075 -0.188999 
0.10875 -0.195422 
0.11 -0.200668 
0.11125 -0.204769 
0.1125 -0.207761 
0.11375 -0.209678 
0.115 -0.210561 
0.11625 -0.210449 
0.1175 -0.209385 
0.11875 -0.207414 
0.12 -0.204579 
0.12125 -0.200928 
0.1225 -0.196507 
0.12375 -0.191365 
0.125 -0.18555 
0.12625 -0.17911 
0.1275 -0.172096 
0.12875 -0.164555 
0.13 -0.156537 
0.13125 -0.148091 
0.1325 -0.139264 
0.13375 -0.130106 
0.135 -0.120662 
0.13625 -0.11098 
0.1375 -0.101104 
0.13875 -0.0910797 
0.14 -0.0809497 
0.14125 -0.0707565 
0.1425 -0.0605409 
0.14375 -0.0503424 
0.145 -0.0401992 
0.14625 -0.0301479 
0.1475 -0.0202234 
0.14875 -0.0104592 
0.15 -0.000887034 
0.15125 0.00846296 
0.1525 0.0175625 
0.15375 0.0263849 
0.155 0.0349056 
0.15625 0.0431014 
0.1575 0.0509512 
0.15875 0.0584356 
0.16 0.065537 
0.16125 0.0722399 
0.1625 0.0785301 
0.16375 0.0843956 
0.165 0.089826 
0.16625 0.0948126 
0.1675 0.0993487 
0.16875 0.103429 
0.17 0.10705 
0.17125 0.110209 
0.1725 0.112907 
0.17375 0.115144 
0.175 0.116923 
0.17625 0.118249 
0.1775 0.119126 
0.17875 0.119562 
0.18 0.119564 
0.18125 0.119143 
0.1825 0.118307 
0.18375 0.11707 
0.185 0.115443 
0.18625 0.11344 
0.1875 0.111075 
0.18875 0.108364 
0.19 0.105323 
0.19125 0.101968 
0.1925 0.0983175 
0.19375 0.0943885 
0.195 0.0901998 
0.19625 0.0857703 
0.1975 0.0811193 
0.19875 0.0762663 
0.2 0.0712311 
0.20125 0.0660338 
0.2025 0.0606944 
0.20375 0.055233 
0.205 0.0496699 
0.20625 0.0440251 
0.2075 0.0383185 
0.20875 0.03257 
0.21 0.0267991 
0.21125 0.0210249 
0.2125 0.0152665 
0.21375 0.00954234 
0.215 0.00387053 
0.21625 -0.00173133 
0.2175 -0.00724615 
0.21875 -0.0126574 
0.22 -0.0179492 
0.22125 -0.0231061 
0.2225 -0.0281137 
0.22375 -0.0329579 
0.225 -0.0376256 
0.22625 -0.0421043 
