# This file was generated by the deal.II library.
# Date =  2020/4/29
# Time =  23:43:07
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_wrt_M_7> 
0 0 
0.00125 -0.0350941 
0.0025 -0.0721936 
0.00375 -0.111082 
0.005 -0.151551 
0.00625 -0.1934 
0.0075 -0.236436 
0.00875 -0.280475 
0.01 -0.325339 
0.01125 -0.370858 
0.0125 -0.416869 
0.01375 -0.463216 
0.015 -0.50975 
0.01625 -0.556328 
0.0175 -0.602816 
0.01875 -0.649083 
0.02 -0.695007 
0.02125 -0.74047 
0.0225 -0.785361 
0.02375 -0.829576 
0.025 -0.873015 
0.02625 -0.915583 
0.0275 -0.957192 
0.02875 -0.99776 
0.03 -1.03721 
0.03125 -1.07546 
0.0325 -1.11245 
0.03375 -1.14812 
0.035 -1.18241 
0.03625 -1.21525 
0.0375 -1.24661 
0.03875 -1.27644 
0.04 -1.30469 
0.04125 -1.33133 
0.0425 -1.35632 
0.04375 -1.37963 
0.045 -1.40124 
0.04625 -1.42113 
0.0475 -1.43928 
0.04875 -1.45566 
0.05 -1.47028 
0.05125 -1.48311 
0.0525 -1.49415 
0.05375 -1.5034 
0.055 -1.51086 
0.05625 -1.51653 
0.0575 -1.52042 
0.05875 -1.52253 
0.06 -1.52287 
0.06125 -1.52146 
0.0625 -1.5183 
0.06375 -1.51342 
0.065 -1.50683 
0.06625 -1.49856 
0.0675 -1.48863 
0.06875 -1.47706 
0.07 -1.46387 
0.07125 -1.4491 
0.0725 -1.43278 
0.07375 -1.41493 
0.075 -1.39559 
0.07625 -1.37479 
0.0775 -1.35257 
0.07875 -1.32896 
0.08 -1.304 
0.08125 -1.27773 
0.0825 -1.25019 
0.08375 -1.22142 
0.085 -1.19146 
0.08625 -1.16034 
0.0875 -1.12813 
0.08875 -1.09485 
0.09 -1.06055 
0.09125 -1.02528 
0.0925 -0.989077 
0.09375 -0.951993 
0.095 -0.914073 
0.09625 -0.875361 
0.0975 -0.835905 
0.09875 -0.795751 
0.1 -0.754946 
0.10125 -0.713538 
0.1025 -0.671573 
0.10375 -0.629098 
0.105 -0.586161 
0.10625 -0.542809 
0.1075 -0.499088 
0.10875 -0.455046 
0.11 -0.410729 
0.11125 -0.366184 
0.1125 -0.321456 
0.11375 -0.276592 
0.115 -0.231637 
0.11625 -0.186636 
0.1175 -0.141634 
0.11875 -0.0966749 
0.12 -0.0518031 
0.12125 -0.00706144 
0.1225 0.0375072 
0.12375 0.0818608 
0.125 0.125958 
0.12625 0.169757 
0.1275 0.213218 
0.12875 0.256302 
0.13 0.298969 
0.13125 0.341182 
0.1325 0.382903 
0.13375 0.424095 
0.135 0.464722 
0.13625 0.50475 
0.1375 0.544144 
0.13875 0.582871 
0.14 0.620898 
0.14125 0.658194 
0.1425 0.694728 
0.14375 0.730471 
0.145 0.765393 
0.14625 0.799466 
0.1475 0.832663 
0.14875 0.86496 
0.15 0.896329 
0.15125 0.926748 
0.1525 0.956194 
0.15375 0.984643 
0.155 1.01208 
0.15625 1.03847 
0.1575 1.06381 
0.15875 1.08808 
0.16 1.11126 
0.16125 1.13333 
0.1625 1.15427 
