  Equation Data:                             clamped (Gaussian bells)        
  IP pre-factor:                             1        
  Local solver:                              Kronecker SVD        
  Selected KSVD tensors:                     [0, 1]        
  Number of Lanczos iterations:              5        
  Addition to min. eigenvalue:               0.01        
  Stream function formulation (Stokes):      false    

  Finite element:                            FE_Q<2>(5)        
  Number of run cycles:                      12        
  Lower dof limit:                           50000        
  Upper dof limit:                           10000000        
  Using TBB:                                 false    

  Geometry:                                  Cube        
  Number of refinements:                     1        
  Number of repetitions:                     2        
  Subdivisions per direction:                []        
  Distortion factor:                         -1.000e+00

  Solver:                                    cg        
  Absolute tolerance:                        1.000e-14    
  Relative tolerance:                        1.000e-08    
  Number of maximal iterations:              100        
  Preconditioner:                            GMG        
  Solver control:                            relative tolerance        

  Multigrid:                                 V-cycle        
  /// Pre-smoother                                   
  Number of smoothing steps:                 2        
  Doubling of smoothing steps:               false    
  Smoother:                                  Schwarz Smoother        
  Schwarz operator                           Multiplicative Vertex Patch        
  Damping factor                             1        
  User-defined coloring                      true     
  Symmetrized Schwarz operator               false    
  Reversed Schwarz operator                  false    
  RAS - weights                              false    
  RAS - boolean weights                      false    
  Number of quad points (surrogate)          5        
  Normalize surrogate patches                false    
  Compute arc length (surrogate)             true     
  Caching strategy                           cached        
  /// Post-smoother                                  
  Number of smoothing steps:                 2        
  Doubling of smoothing steps:               false    
  Smoother:                                  Schwarz Smoother        
  Schwarz operator                           Multiplicative Vertex Patch        
  Damping factor                             1        
  User-defined coloring                      true     
  Symmetrized Schwarz operator               false    
  Reversed Schwarz operator                  true     
  RAS - weights                              false    
  RAS - boolean weights                      false    
  Number of quad points (surrogate)          5        
  Normalize surrogate patches                false    
  Compute arc length (surrogate)             true     
  Caching strategy                           cached        
  /// Coarse grid solver                             
  Coarse grid solver:                        Full Inverse (SVD)        

  Starting cycle 1 of 12                     ...        
  No mesh created                            ...        


  Starting cycle 2 of 12                     ...        
  No mesh created                            ...        


  Starting cycle 3 of 12                     ...        
  No mesh created                            ...        


  Starting cycle 4 of 12                     ...        
  No mesh created                            ...        


  Starting cycle 5 of 12                     ...        
  Domain:                                    (0, 1) x (0, 1)        
  Root mesh:                                 2 x 2        
  Number of root cells:                      4        
  Number of active cells:                    4096        

  Number of degrees of freedom:              103041        
  Interpolating boundary values              ...        
  Solving system                             ...        
  Average reduction (solver):                0.00676839        
  Number of iterations (solver):             3.68746        
  Error in the L2 norm:                      1.013e-06          
  Error in the H1 seminorm:                  1.586e-05          
  Error in energy norm (resp. |.|_h):        0.00126932        

  Starting cycle 6 of 12                     ...        
  Domain:                                    (0, 1) x (0, 1)        
  Root mesh:                                 2 x 2        
  Number of root cells:                      4        
  Number of active cells:                    16384        

  Number of degrees of freedom:              410881        
  Interpolating boundary values              ...        
  Solving system                             ...        
  Average reduction (solver):                0.00674539        
  Number of iterations (solver):             3.68495        
  Error in the L2 norm:                      1.643e-06          
  Error in the H1 seminorm:                  2.709e-05          
  Error in energy norm (resp. |.|_h):        0.00362523        

  Starting cycle 7 of 12                     ...        
  Domain:                                    (0, 1) x (0, 1)        
  Root mesh:                                 2 x 2        
  Number of root cells:                      4        
  Number of active cells:                    65536        

  Number of degrees of freedom:              1640961        
  Interpolating boundary values              ...        
  Solving system                             ...        
  Average reduction (solver):                0.0067328        
  Number of iterations (solver):             3.68357        
  Error in the L2 norm:                      6.764e-06          
  Error in the H1 seminorm:                  5.194e-05          
  Error in energy norm (resp. |.|_h):        0.0102986        

  Starting cycle 8 of 12                     ...        
  Domain:                                    (0, 1) x (0, 1)        
  Root mesh:                                 2 x 2        
  Number of root cells:                      4        
  Number of active cells:                    262144        

  Number of degrees of freedom:              6558721        
  Interpolating boundary values              ...        
  Solving system                             ...        
  Average reduction (solver):                0.00672602        
  Number of iterations (solver):             3.68283        
  Error in the L2 norm:                      1.565e-04          
  Error in the H1 seminorm:                  7.657e-04          
  Error in energy norm (resp. |.|_h):        0.0297226        

  Starting cycle 9 of 12                     ...        
  No mesh created                            ...        


  Starting cycle 10 of 12                    ...        
  No mesh created                            ...        


  Starting cycle 11 of 12                    ...        
  No mesh created                            ...        


  Starting cycle 12 of 12                    ...        
  No mesh created                            ...        




n_levels n_cells n_dofs  n_colors n_iter reduction       L2_error           energy_error     
       6    4096  103041        8 3.6875 6.768e-03 1.013e-06    -     - 1.269e-03    -     - 
       7   16384  410881        8 3.6849 6.745e-03 1.643e-06 0.62 -0.70 3.625e-03 0.35 -1.52 
       8   65536 1640961        8 3.6836 6.733e-03 6.764e-06 0.24 -2.04 1.030e-02 0.35 -1.51 
       9  262144 6558721        8 3.6828 6.726e-03 1.565e-04 0.04 -4.54 2.972e-02 0.35 -1.53 
