| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 25.3551 | 4.836e-01 | 4.884e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 26.3079 | 4.965e-01 | 1.556e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 27.4930 | 5.117e-01 | 5.824e-01 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 28.4007 | 5.228e-01 | 2.344e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 29.4707 | 5.352e-01 | 1.012e+01 | 
| 8        | 65536   | 2097152 | 1.624e-11 | 3.99                     | 30.2178 | 5.436e-01 | 4.093e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 25.3551 | 4.836e-01 | 4.513e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 26.3079 | 4.965e-01 | 1.405e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 27.4930 | 5.117e-01 | 5.449e-01 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 28.4007 | 5.228e-01 | 2.266e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 29.4707 | 5.352e-01 | 9.753e+00 | 
| 8        | 65536   | 2097152 | 1.624e-11 | 3.99                     | 30.2178 | 5.436e-01 | 4.094e+01 | 
