| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 23.3081 | 4.537e-01 | 1.048e-01 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 25.7187 | 4.886e-01 | 4.150e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 26.4723 | 4.987e-01 | 1.698e+00 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 27.0662 | 5.063e-01 | 7.154e+00 | 
| 7        | 16384   | 524288  | 2.590e-10 | 3.99                     | 28.0343 | 5.184e-01 | 3.014e+01 | 
| 8        | 65536   | 2097152 | 1.625e-11 | 3.99                     | 28.9447 | 5.292e-01 | 1.225e+02 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 23.3081 | 4.537e-01 | 1.075e-01 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 25.7187 | 4.886e-01 | 4.161e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 26.4723 | 4.987e-01 | 1.762e+00 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 27.0662 | 5.063e-01 | 7.259e+00 | 
| 7        | 16384   | 524288  | 2.590e-10 | 3.99                     | 28.0343 | 5.184e-01 | 3.060e+01 | 
| 8        | 65536   | 2097152 | 1.625e-11 | 3.99                     | 28.9447 | 5.292e-01 | 1.237e+02 | 
