| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 12.9514 | 2.412e-01 | 9.048e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 13.2231 | 2.483e-01 | 3.945e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 13.2540 | 2.491e-01 | 1.643e+00 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 12.9852 | 2.421e-01 | 6.532e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 12.8153 | 2.375e-01 | 2.647e+01 | 
| 8        | 65536   | 2097152 | 1.624e-11 | 3.99                     | 12.8617 | 2.388e-01 | 1.072e+02 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 12.9514 | 2.412e-01 | 9.027e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 13.2231 | 2.483e-01 | 3.916e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 13.2540 | 2.491e-01 | 1.641e+00 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 12.9852 | 2.421e-01 | 6.567e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 12.8153 | 2.375e-01 | 2.733e+01 | 
| 8        | 65536   | 2097152 | 1.624e-11 | 3.99                     | 12.8617 | 2.388e-01 | 1.096e+02 | 
