| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 12.6796 | 2.339e-01 | 5.129e-02 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 12.1851 | 2.205e-01 | 1.605e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 12.4043 | 2.265e-01 | 6.068e-01 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 12.3172 | 2.241e-01 | 2.483e+00 | 
| 7        | 16384   | 524288  | 2.590e-10 | 3.99                     | 12.1699 | 2.201e-01 | 9.974e+00 | 
| 8        | 65536   | 2097152 | 1.625e-11 | 4.00                     | 12.0710 | 2.174e-01 | 4.023e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 12.6796 | 2.339e-01 | 5.233e-02 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 12.1851 | 2.205e-01 | 1.670e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 12.4043 | 2.265e-01 | 6.182e-01 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 12.3172 | 2.241e-01 | 2.476e+00 | 
| 7        | 16384   | 524288  | 2.590e-10 | 3.99                     | 12.1699 | 2.201e-01 | 1.009e+01 | 
| 8        | 65536   | 2097152 | 1.625e-11 | 4.00                     | 12.0710 | 2.174e-01 | 4.049e+01 | 
