| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 6.8751 | 6.861e-02 | 4.709e-02 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 6.8694 | 6.846e-02 | 1.597e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 6.9378 | 7.029e-02 | 6.113e-01 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 6.8914 | 6.905e-02 | 2.470e+00 | 
| 7        | 16384   | 524288  | 2.590e-10 | 3.99                     | 6.7264 | 6.466e-02 | 1.013e+01 | 
| 8        | 65536   | 2097152 | 1.625e-11 | 3.99                     | 6.5617 | 6.037e-02 | 4.053e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 6.8751 | 6.861e-02 | 4.797e-02 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 6.8694 | 6.846e-02 | 1.600e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 6.9378 | 7.029e-02 | 6.267e-01 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 6.8914 | 6.905e-02 | 2.559e+00 | 
| 7        | 16384   | 524288  | 2.590e-10 | 3.99                     | 6.7264 | 6.466e-02 | 1.039e+01 | 
| 8        | 65536   | 2097152 | 1.625e-11 | 3.99                     | 6.5617 | 6.037e-02 | 4.233e+01 | 
