| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 3.5318 | 5.430e-03 | 7.918e-02 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 3.8441 | 8.296e-03 | 2.782e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 3.7658 | 7.510e-03 | 1.112e+00 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 3.7663 | 7.515e-03 | 4.538e+00 | 
| 7        | 16384   | 524288  | 2.592e-10 | 3.99                     | 3.7972 | 7.819e-03 | 1.848e+01 | 
| 8        | 65536   | 2097152 | 1.793e-11 | 3.85                     | 3.8145 | 7.993e-03 | 7.522e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 3.5318 | 5.430e-03 | 8.035e-02 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 3.8441 | 8.296e-03 | 2.847e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 3.7658 | 7.510e-03 | 1.133e+00 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 3.7663 | 7.515e-03 | 4.671e+00 | 
| 7        | 16384   | 524288  | 2.592e-10 | 3.99                     | 3.7972 | 7.819e-03 | 1.920e+01 | 
| 8        | 65536   | 2097152 | 1.793e-11 | 3.85                     | 3.8145 | 7.993e-03 | 7.676e+01 | 
