| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.890e-05 | -                        | 10.8071 | 1.819e-01 | 1.034e-01 | 
| 4        | 256     | 8192    | 1.041e-06 | 4.18                     | 10.9646 | 1.864e-01 | 3.422e-01 | 
| 5        | 1024    | 32768   | 6.570e-08 | 3.99                     | 11.2050 | 1.932e-01 | 1.399e+00 | 
| 6        | 4096    | 131072  | 4.143e-09 | 3.99                     | 10.9546 | 1.861e-01 | 5.389e+00 | 
| 7        | 16384   | 524288  | 2.599e-10 | 3.99                     | 10.8301 | 1.825e-01 | 2.186e+01 | 
| 8        | 65536   | 2097152 | 1.633e-11 | 3.99                     | 10.7692 | 1.808e-01 | 8.913e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.890e-05 | -                        | 10.8071 | 1.819e-01 | 1.054e-01 | 
| 4        | 256     | 8192    | 1.041e-06 | 4.18                     | 10.9646 | 1.864e-01 | 3.527e-01 | 
| 5        | 1024    | 32768   | 6.570e-08 | 3.99                     | 11.2050 | 1.932e-01 | 1.438e+00 | 
| 6        | 4096    | 131072  | 4.143e-09 | 3.99                     | 10.9546 | 1.861e-01 | 5.500e+00 | 
| 7        | 16384   | 524288  | 2.599e-10 | 3.99                     | 10.8301 | 1.825e-01 | 2.242e+01 | 
| 8        | 65536   | 2097152 | 1.633e-11 | 3.99                     | 10.7692 | 1.808e-01 | 9.096e+01 | 
