| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 3.4478 | 4.783e-03 | 7.887e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 3.7193 | 7.064e-03 | 2.794e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 3.6428 | 6.366e-03 | 1.103e+00 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 3.6409 | 6.349e-03 | 4.553e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 3.6872 | 6.766e-03 | 1.833e+01 | 
| 8        | 65536   | 2097152 | 1.630e-11 | 3.99                     | 3.7302 | 7.167e-03 | 7.411e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 3.4478 | 4.783e-03 | 8.411e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 3.7193 | 7.064e-03 | 2.869e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 3.6428 | 6.366e-03 | 1.132e+00 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 3.6409 | 6.349e-03 | 4.650e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 3.6872 | 6.766e-03 | 1.883e+01 | 
| 8        | 65536   | 2097152 | 1.630e-11 | 3.99                     | 3.7302 | 7.167e-03 | 7.567e+01 | 
